row_id,settlement,region_kingdom,demographic_group,population
102,Tyrluk,Cormyr,half-elves,3
102,Tyrluk,Cormyr,elves,1
103,Waymoot,Cormyr,humans,1743
103,Waymoot,Cormyr,halflings,58
103,Waymoot,Cormyr,dwarves,58
103,Waymoot,Cormyr,half-elves,36
103,Waymoot,Cormyr,elves,19
104,Wheloon,Cormyr,humans,6289
104,Wheloon,Cormyr,halflings,216
104,Wheloon,Cormyr,dwarves,202
104,Wheloon,Cormyr,half-elves,139
104,Wheloon,Cormyr,elves,69
105,Wormtower,Cormyr,humans,5059
105,Wormtower,Cormyr,halflings,160
105,Wormtower,Cormyr,dwarves,160
105,Wormtower,Cormyr,half-elves,104
105,Wormtower,Cormyr,elves,55
106,Yeoman Bridge,Cormyr,humans,5119
106,Yeoman Bridge,Cormyr,halflings,168
106,Yeoman Bridge,Cormyr,dwarves,162
106,Yeoman Bridge,Cormyr,half-elves,106
106,Yeoman Bridge,Cormyr,elves,56
107,Heliogabalus,Damara,humans,41306
107,Heliogabalus,Damara,halflings,1326
107,Heliogabalus,Damara,dwarves,1326
107,Heliogabalus,Damara,half-elves,884
107,Heliogabalus,Damara,elves,442
108,Bloodstone Gate,Damara,humans,11400
108,Bloodstone Gate,Damara,halflings,355
108,Bloodstone Gate,Damara,dwarves,367
108,Bloodstone Gate,Damara,half-elves,232
108,Bloodstone Gate,Damara,elves,122
109,Bloodstone Town,Damara,humans,6377
109,Bloodstone Town,Damara,halflings,204
109,Bloodstone Town,Damara,dwarves,204
109,Bloodstone Town,Damara,half-elves,136
109,Bloodstone Town,Damara,elves,68
110,Brotha,Damara,humans,359
110,Brotha,Damara,halflings,11
110,Brotha,Damara,dwarves,11
110,Brotha,Damara,half-elves,7
110,Brotha,Damara,elves,3
111,Cutrock,Damara,humans,3109
111,Cutrock,Damara,halflings,102
111,Cutrock,Damara,dwarves,98
111,Cutrock,Damara,half-elves,68
111,Cutrock,Damara,elves,34
112,Goliad,Damara,humans,842
112,Goliad,Damara,halflings,26
112,Goliad,Damara,dwarves,27
112,Goliad,Damara,half-elves,18
112,Goliad,Damara,elves,9
113,Daleport,Damara,humans,102
113,Daleport,Damara,halflings,3
113,Daleport,Damara,dwarves,3
113,Daleport,Damara,half-elves,2
113,Daleport,Damara,elves,1
114,Dunfee,Damara,humans,1636
114,Dunfee,Damara,halflings,52
114,Dunfee,Damara,dwarves,52
114,Dunfee,Damara,half-elves,36
114,Dunfee,Damara,elves,18
115,Helmsdale,Damara,humans,65
115,Helmsdale,Damara,halflings,2
115,Helmsdale,Damara,dwarves,2
115,Helmsdale,Damara,half-elves,1
115,Helmsdale,Damara,elves,0
116,Hinterford,Damara,humans,784
116,Hinterford,Damara,halflings,25
116,Hinterford,Damara,dwarves,25
116,Hinterford,Damara,half-elves,16
116,Hinterford,Damara,elves,8
117,Ironspur,Damara,humans,308
117,Ironspur,Damara,halflings,10
117,Ironspur,Damara,dwarves,10
117,Ironspur,Damara,half-elves,7
117,Ironspur,Damara,elves,3
118,Kinbrace,Damara,humans,407
118,Kinbrace,Damara,halflings,13
118,Kinbrace,Damara,dwarves,13
118,Kinbrace,Damara,half-elves,8
118,Kinbrace,Damara,elves,4
119,Kinnery,Damara,humans,730
119,Kinnery,Damara,halflings,24
119,Kinnery,Damara,dwarves,25
119,Kinnery,Damara,half-elves,15
119,Kinnery,Damara,elves,8
120,Merkurn,Damara,humans,847
120,Merkurn,Damara,halflings,30
120,Merkurn,Damara,dwarves,28
120,Merkurn,Damara,half-elves,18
120,Merkurn,Damara,elves,9
121,Morovar,Damara,humans,345
121,Morovar,Damara,halflings,12
121,Morovar,Damara,dwarves,11
121,Morovar,Damara,half-elves,7
121,Morovar,Damara,elves,3
122,Newbelle,Damara,humans,650
122,Newbelle,Damara,halflings,21
122,Newbelle,Damara,dwarves,20
122,Newbelle,Damara,half-elves,14
122,Newbelle,Damara,elves,7
123,Ostrav,Damara,humans,180
123,Ostrav,Damara,halflings,5
123,Ostrav,Damara,dwarves,5
123,Ostrav,Damara,half-elves,3
123,Ostrav,Damara,elves,1
124,Portith,Damara,humans,507
124,Portith,Damara,halflings,17
124,Portith,Damara,dwarves,16
124,Portith,Damara,half-elves,10
124,Portith,Damara,elves,5
125,Praka,Damara,humans,9282
125,Praka,Damara,halflings,308
125,Praka,Damara,dwarves,319
125,Praka,Damara,half-elves,212
125,Praka,Damara,elves,106
126,Ravensburg,Damara,humans,312
126,Ravensburg,Damara,halflings,9
126,Ravensburg,Damara,dwarves,10
126,Ravensburg,Damara,half-elves,6
126,Ravensburg,Damara,elves,3
127,Rolene,Damara,humans,506
127,Rolene,Damara,halflings,17
127,Rolene,Damara,dwarves,18
127,Rolene,Damara,half-elves,11
127,Rolene,Damara,elves,5
128,Samek,Damara,humans,555
128,Samek,Damara,halflings,17
128,Samek,Damara,dwarves,18
128,Samek,Damara,half-elves,12
128,Samek,Damara,elves,6
129,Steppenhall,Damara,humans,610
129,Steppenhall,Damara,halflings,20
129,Steppenhall,Damara,dwarves,20
129,Steppenhall,Damara,half-elves,13
129,Steppenhall,Damara,elves,6
130,Sudrav,Damara,humans,525
130,Sudrav,Damara,halflings,17
130,Sudrav,Damara,dwarves,18
130,Sudrav,Damara,half-elves,12
130,Sudrav,Damara,elves,6
131,Tellerth,Damara,humans,2002
131,Tellerth,Damara,halflings,64
131,Tellerth,Damara,dwarves,64
131,Tellerth,Damara,half-elves,42
131,Tellerth,Damara,elves,22
132,Thimble,Damara,humans,677
132,Thimble,Damara,halflings,22
132,Thimble,Damara,dwarves,22
132,Thimble,Damara,half-elves,15
132,Thimble,Damara,elves,7
133,Tokard,Damara,humans,752
133,Tokard,Damara,halflings,23
133,Tokard,Damara,dwarves,23
133,Tokard,Damara,half-elves,15
133,Tokard,Damara,elves,8
134,Tomrav,Damara,humans,412
134,Tomrav,Damara,halflings,14
134,Tomrav,Damara,dwarves,14
134,Tomrav,Damara,half-elves,9
134,Tomrav,Damara,elves,4
135,Trailsend,Damara,humans,12122
135,Trailsend,Damara,halflings,388
135,Trailsend,Damara,dwarves,388
135,Trailsend,Damara,half-elves,267
135,Trailsend,Damara,elves,133
136,Valls,Damara,humans,1147
136,Valls,Damara,halflings,38
136,Valls,Damara,dwarves,35
136,Valls,Damara,half-elves,24
136,Valls,Damara,elves,12
137,Virdin,Damara,humans,1299
137,Virdin,Damara,halflings,42
137,Virdin,Damara,dwarves,42
137,Virdin,Damara,half-elves,29
137,Virdin,Damara,elves,14
138,Wassen,Damara,humans,215
138,Wassen,Damara,halflings,7
138,Wassen,Damara,dwarves,7
138,Wassen,Damara,half-elves,4
138,Wassen,Damara,elves,2
139,Windless,Damara,humans,396
139,Windless,Damara,halflings,12
139,Windless,Damara,dwarves,13
139,Windless,Damara,half-elves,8
139,Windless,Damara,elves,4
140,Withermeet,Damara,humans,87
140,Withermeet,Damara,halflings,3
140,Withermeet,Damara,dwarves,3
140,Withermeet,Damara,half-elves,2
140,Withermeet,Damara,elves,1
141,Zarach,Damara,humans,471
141,Zarach,Damara,halflings,15
141,Zarach,Damara,dwarves,15
141,Zarach,Damara,half-elves,10
141,Zarach,Damara,elves,5
142,Halarahh,Halruaa,humans,7909
142,Halarahh,Halruaa,dwarves,0
142,Halarahh,Halruaa,halflings,0
142,Halarahh,Halruaa,elves,0
142,Halarahh,Halruaa,half-elves,0
142,Halarahh,Halruaa,misc.,0
143,Achelar,Halruaa,humans,882
143,Achelar,Halruaa,dwarves,21
143,Achelar,Halruaa,halflings,0
143,Achelar,Halruaa,elves,0
143,Achelar,Halruaa,half-elves,0
143,Achelar,Halruaa,misc.,0
144,Alathil,Halruaa,humans,4013
144,Alathil,Halruaa,dwarves,0
144,Alathil,Halruaa,halflings,0
144,Alathil,Halruaa,elves,0
144,Alathil,Halruaa,half-elves,0
144,Alathil,Halruaa,misc.,0
145,Alu,Halruaa,humans,3759
145,Alu,Halruaa,dwarves,0
145,Alu,Halruaa,halflings,0
145,Alu,Halruaa,elves,0
145,Alu,Halruaa,half-elves,0
145,Alu,Halruaa,misc.,0
146,Aluarim,Halruaa,humans,8699
146,Aluarim,Halruaa,dwarves,0
146,Aluarim,Halruaa,halflings,0
146,Aluarim,Halruaa,elves,0
146,Aluarim,Halruaa,half-elves,0
146,Aluarim,Halruaa,misc.,315
147,Assundath,Halruaa,humans,405
147,Assundath,Halruaa,dwarves,0
147,Assundath,Halruaa,halflings,2
147,Assundath,Halruaa,elves,0
147,Assundath,Halruaa,half-elves,0
147,Assundath,Halruaa,misc.,0
148,Bathmé,Halruaa,humans,3641
148,Bathmé,Halruaa,dwarves,0
148,Bathmé,Halruaa,halflings,274
148,Bathmé,Halruaa,elves,0
