settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,exports_json,imports_json,demographic_breakdown_json,class_density_json
Toreus,Chessenta,Cimbar,3760,519358,526,"{'humans': 3423, 'halflings': 114, 'dwarves': 107, 'half-elves': 77, 'elves': 37}",47,Poison,['Hierarchy'],"{'Aristocratic': 1, 'Wealthy': 43, 'Comfortable': 243, 'Modest': 430, 'Poor': 1250, 'Squalid': 749, 'Wretched': 146}",17,"[""['art'"", ""'cattle'"", ""'gold'"", ""'grapes'"", ""'olive oil'"", ""'quality iron'"", ""'silver'"", ""'slaves'"", ""'statues'"", ""'weapons'"", ""'wine']""]","[""['cheese'"", ""'glass'"", ""'horses'"", ""'magic weapons'"", ""'mercenaries'"", ""'perfume'"", ""'pork'"", ""'slaves']""]",,"{'mercenary_companies': [{'name': 'Wraith of the Inner Sea'}, {'name': 'the Renegades'}, {'name': 'the Sailors of the Crimson Sea'}, {'name': 'the Society of the Sword'}]}",None,"['Chessentan', 'Chondathan', 'Common', 'Untheric']","['Anhur', 'Assuran (Hoar)', 'Azuth', 'Lathander', 'Red Knight', 'Tchazzar (Tiamat)', 'Waukeen']",3241585,21678,,48,43.1,46,0,,"[""['art'"", ""'cattle'"", ""'gold'"", ""'grapes'"", ""'olive oil'"", ""'quality iron'"", ""'silver'"", ""'slaves'"", ""'statues'"", ""'weapons'"", ""'wine']""]","[""['cheese'"", ""'glass'"", ""'horses'"", ""'magic weapons'"", ""'mercenaries'"", ""'perfume'"", ""'pork'"", ""'slaves']""]","{""humans"": 3423.0, ""halflings"": 114.0, ""dwarves"": 107.0, ""half-elves"": 77.0, ""elves"": 37.0}","{""Aristocratic"": 1.0, ""Wealthy"": 43.0, ""Comfortable"": 243.0, ""Modest"": 430.0, ""Poor"": 1250.0, ""Squalid"": 749.0, ""Wretched"": 146.0}"
Tulach,Chessenta,Cimbar,2400,346275,347,"{'humans': 2188, 'halflings': 70, 'dwarves': 70, 'half-elves': 46, 'elves': 23}",49,Dueling accidents,['Meritocracy'],"{'Aristocratic': 0, 'Wealthy': 24, 'Comfortable': 180, 'Modest': 273, 'Poor': 801, 'Squalid': 595, 'Wretched': 73}",0,"[""['art'"", ""'cattle'"", ""'gold'"", ""'grapes'"", ""'olive oil'"", ""'quality iron'"", ""'silver'"", ""'slaves'"", ""'statues'"", ""'weapons'"", ""'wine']""]","[""['cheese'"", ""'glass'"", ""'horses'"", ""'magic weapons'"", ""'mercenaries'"", ""'perfume'"", ""'pork'"", ""'slaves']""]",,"{'mercenary_companies': [{'name': 'Wraith of the Inner Sea'}, {'name': 'the Renegades'}, {'name': 'the Sailors of the Crimson Sea'}, {'name': 'the Society of the Sword'}]}",None,"['Chessentan', 'Chondathan', 'Common', 'Untheric']","['Anhur', 'Assuran (Hoar)', 'Azuth', 'Lathander', 'Red Knight', 'Tchazzar (Tiamat)', 'Waukeen']",3241585,21678,,46,33.7,87,0,,"[""['art'"", ""'cattle'"", ""'gold'"", ""'grapes'"", ""'olive oil'"", ""'quality iron'"", ""'silver'"", ""'slaves'"", ""'statues'"", ""'weapons'"", ""'wine']""]","[""['cheese'"", ""'glass'"", ""'horses'"", ""'magic weapons'"", ""'mercenaries'"", ""'perfume'"", ""'pork'"", ""'slaves']""]","{""humans"": 2188.0, ""halflings"": 70.0, ""dwarves"": 70.0, ""half-elves"": 46.0, ""elves"": 23.0}","{""Aristocratic"": 0.0, ""Wealthy"": 24.0, ""Comfortable"": 180.0, ""Modest"": 273.0, ""Poor"": 801.0, ""Squalid"": 595.0, ""Wretched"": 73.0}"
Villon,Chessenta,Cimbar,800,87162,87,"{'humans': 729, 'halflings': 23, 'dwarves': 23, 'half-elves': 15, 'elves': 7}",54,Poison,['Theocracy'],"{'Aristocratic': 0, 'Wealthy': 5, 'Comfortable': 33, 'Modest': 85, 'Poor': 242, 'Squalid': 194, 'Wretched': 13}",0,"[""['art'"", ""'cattle'"", ""'gold'"", ""'grapes'"", ""'olive oil'"", ""'quality iron'"", ""'silver'"", ""'slaves'"", ""'statues'"", ""'weapons'"", ""'wine']""]","[""['cheese'"", ""'glass'"", ""'horses'"", ""'magic weapons'"", ""'mercenaries'"", ""'perfume'"", ""'pork'"", ""'slaves']""]",,"{'mercenary_companies': [{'name': 'Wraith of the Inner Sea'}, {'name': 'the Renegades'}, {'name': 'the Sailors of the Crimson Sea'}, {'name': 'the Society of the Sword'}]}",None,"['Chessentan', 'Chondathan', 'Common', 'Untheric']","['Anhur', 'Assuran (Hoar)', 'Azuth', 'Lathander', 'Red Knight', 'Tchazzar (Tiamat)', 'Waukeen']",3241585,21678,,57.1,44.5,64,0,,"[""['art'"", ""'cattle'"", ""'gold'"", ""'grapes'"", ""'olive oil'"", ""'quality iron'"", ""'silver'"", ""'slaves'"", ""'statues'"", ""'weapons'"", ""'wine']""]","[""['cheese'"", ""'glass'"", ""'horses'"", ""'magic weapons'"", ""'mercenaries'"", ""'perfume'"", ""'pork'"", ""'slaves']""]","{""humans"": 729.0, ""halflings"": 23.0, ""dwarves"": 23.0, ""half-elves"": 15.0, ""elves"": 7.0}","{""Aristocratic"": 0.0, ""Wealthy"": 5.0, ""Comfortable"": 33.0, ""Modest"": 85.0, ""Poor"": 242.0, ""Squalid"": 194.0, ""Wretched"": 13.0}"
Suzail,Cormyr,Suzail,129311,30664124,882394,"{'humans': 116767, 'halflings': 3750, 'dwarves': 3750, 'half-elves': 2586, 'elves': 1293}",50,Poison,['Dictatorship'],"{'Aristocratic': 689, 'Wealthy': 3224, 'Comfortable': 14929, 'Modest': 21951, 'Poor': 39429, 'Squalid': 45305, 'Wretched': 12830}",16,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",guilds,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,69.8,45.1,72,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 116767.0, ""halflings"": 3750.0, ""dwarves"": 3750.0, ""half-elves"": 2586.0, ""elves"": 1293.0}","{""Aristocratic"": 689.0, ""Wealthy"": 3224.0, ""Comfortable"": 14929.0, ""Modest"": 21951.0, ""Poor"": 39429.0, ""Squalid"": 45305.0, ""Wretched"": 12830.0}"
Arabel,Cormyr,Suzail,28730,6852145,9515,"{'humans': 25857, 'halflings': 861, 'dwarves': 861, 'half-elves': 574, 'elves': 287}",52,Dueling accidents,['Confederacy'],"{'Aristocratic': 14, 'Wealthy': 776, 'Comfortable': 3675, 'Modest': 5260, 'Poor': 9537, 'Squalid': 10116, 'Wretched': 1933}",6,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",guilds,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,50.1,38.9,63,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 25857.0, ""halflings"": 861.0, ""dwarves"": 861.0, ""half-elves"": 574.0, ""elves"": 287.0}","{""Aristocratic"": 14.0, ""Wealthy"": 776.0, ""Comfortable"": 3675.0, ""Modest"": 5260.0, ""Poor"": 9537.0, ""Squalid"": 10116.0, ""Wretched"": 1933.0}"
Aunkspear,Cormyr,Suzail,55010,10176017,27456,"{'humans': 47748, 'halflings': 1595, 'dwarves': 1595, 'half-elves': 1045, 'elves': 550}",49,Dueling accidents,['Matriarchy'],"{'Aristocratic': 97, 'Wealthy': 1100, 'Comfortable': 4045, 'Modest': 9416, 'Poor': 18359, 'Squalid': 13317, 'Wretched': 3976}",7,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",guilds,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,50.3,36.2,86,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 47748.0, ""halflings"": 1595.0, ""dwarves"": 1595.0, ""half-elves"": 1045.0, ""elves"": 550.0}","{""Aristocratic"": 97.0, ""Wealthy"": 1100.0, ""Comfortable"": 4045.0, ""Modest"": 9416.0, ""Poor"": 18359.0, ""Squalid"": 13317.0, ""Wretched"": 3976.0}"
Battlerise,Cormyr,Suzail,8319,1357070,1407,"{'humans': 7597, 'halflings': 235, 'dwarves': 243, 'half-elves': 162, 'elves': 81}",54,Magic mishaps,['Kleptocracy'],"{'Aristocratic': 3, 'Wealthy': 95, 'Comfortable': 502, 'Modest': 1612, 'Poor': 2495, 'Squalid': 1930, 'Wretched': 269}",3,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,50.7,41.9,49,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 7597.0, ""halflings"": 235.0, ""dwarves"": 243.0, ""half-elves"": 162.0, ""elves"": 81.0}","{""Aristocratic"": 3.0, ""Wealthy"": 95.0, ""Comfortable"": 502.0, ""Modest"": 1612.0, ""Poor"": 2495.0, ""Squalid"": 1930.0, ""Wretched"": 269.0}"
Besert,Cormyr,Suzail,438,60517,60,"{'humans': 389, 'halflings': 13, 'dwarves': 13, 'half-elves': 8, 'elves': 4}",50,Assassination,['Gerontocracy'],"{'Aristocratic': 0, 'Wealthy': 2, 'Comfortable': 28, 'Modest': 64, 'Poor': 141, 'Squalid': 96, 'Wretched': 7}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,49.6,44.6,61,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 389.0, ""halflings"": 13.0, ""dwarves"": 13.0, ""half-elves"": 8.0, ""elves"": 4.0}","{""Aristocratic"": 0.0, ""Wealthy"": 2.0, ""Comfortable"": 28.0, ""Modest"": 64.0, ""Poor"": 141.0, ""Squalid"": 96.0, ""Wretched"": 7.0}"
Blustich,Cormyr,Suzail,5190,858881,875,"{'humans': 4731, 'halflings': 152, 'dwarves': 152, 'half-elves': 101, 'elves': 50}",50,Work-related accidents,['Magocracy'],"{'Aristocratic': 1, 'Wealthy': 80, 'Comfortable': 337, 'Modest': 885, 'Poor': 1579, 'Squalid': 1483, 'Wretched': 387}",15,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,60,35.4,57,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 4731.0, ""halflings"": 152.0, ""dwarves"": 152.0, ""half-elves"": 101.0, ""elves"": 50.0}","{""Aristocratic"": 1.0, ""Wealthy"": 80.0, ""Comfortable"": 337.0, ""Modest"": 885.0, ""Poor"": 1579.0, ""Squalid"": 1483.0, ""Wretched"": 387.0}"
Bogbrook,Cormyr,Suzail,813,94681,94,"{'humans': 732, 'halflings': 24, 'dwarves': 25, 'half-elves': 16, 'elves': 8}",50,Magic mishaps,['Patriarchy'],"{'Aristocratic': 0, 'Wealthy': 0, 'Comfortable': 44, 'Modest': 102, 'Poor': 248, 'Squalid': 198, 'Wretched': 14}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,67.1,43.6,73,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 732.0, ""halflings"": 24.0, ""dwarves"": 25.0, ""half-elves"": 16.0, ""elves"": 8.0}","{""Aristocratic"": 0.0, ""Wealthy"": 0.0, ""Comfortable"": 44.0, ""Modest"": 102.0, ""Poor"": 248.0, ""Squalid"": 198.0, ""Wretched"": 14.0}"
Bospir,Cormyr,Suzail,2656,516329,519,"{'humans': 2313, 'halflings': 79, 'dwarves': 77, 'half-elves': 53, 'elves': 26}",49,Magic mishaps,['Republic'],"{'Aristocratic': 0, 'Wealthy': 36, 'Comfortable': 199, 'Modest': 618, 'Poor': 899, 'Squalid': 748, 'Wretched': 86}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,66.8,38.5,85,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 2313.0, ""halflings"": 79.0, ""dwarves"": 77.0, ""half-elves"": 53.0, ""elves"": 26.0}","{""Aristocratic"": 0.0, ""Wealthy"": 36.0, ""Comfortable"": 199.0, ""Modest"": 618.0, ""Poor"": 899.0, ""Squalid"": 748.0, ""Wretched"": 86.0}"
Castle Crag,Cormyr,Suzail,506,55078,55,"{'humans': 453, 'halflings': 14, 'dwarves': 14, 'half-elves': 9, 'elves': 5}",52,Bandit attacks,['Hierarchy'],"{'Aristocratic': 0, 'Wealthy': 3, 'Comfortable': 25, 'Modest': 42, 'Poor': 164, 'Squalid': 141, 'Wretched': 7}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,53.6,44.7,73,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 453.0, ""halflings"": 14.0, ""dwarves"": 14.0, ""half-elves"": 9.0, ""elves"": 5.0}","{""Aristocratic"": 0.0, ""Wealthy"": 3.0, ""Comfortable"": 25.0, ""Modest"": 42.0, ""Poor"": 164.0, ""Squalid"": 141.0, ""Wretched"": 7.0}"
Dawngleam,Cormyr,Suzail,792,98878,98,"{'humans': 722, 'halflings': 23, 'dwarves': 22, 'half-elves': 15, 'elves': 7}",52,Old age,['Militocracy'],"{'Aristocratic': 0, 'Wealthy': 4, 'Comfortable': 40, 'Modest': 100, 'Poor': 273, 'Squalid': 203, 'Wretched': 14}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,69.8,46,87,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 722.0, ""halflings"": 23.0, ""dwarves"": 22.0, ""half-elves"": 15.0, ""elves"": 7.0}","{""Aristocratic"": 0.0, ""Wealthy"": 4.0, ""Comfortable"": 40.0, ""Modest"": 100.0, ""Poor"": 273.0, ""Squalid"": 203.0, ""Wretched"": 14.0}"
Dhedluk,Cormyr,Suzail,933,89425,89,"{'humans': 847, 'halflings': 27, 'dwarves': 27, 'half-elves': 17, 'elves': 9}",49,Work-related accidents,['Bureaucracy'],"{'Aristocratic': 0, 'Wealthy': 2, 'Comfortable': 48, 'Modest': 69, 'Poor': 289, 'Squalid': 142, 'Wretched': 12}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,57.7,48.6,67,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 847.0, ""halflings"": 27.0, ""dwarves"": 27.0, ""half-elves"": 17.0, ""elves"": 9.0}","{""Aristocratic"": 0.0, ""Wealthy"": 2.0, ""Comfortable"": 48.0, ""Modest"": 69.0, ""Poor"": 289.0, ""Squalid"": 142.0, ""Wretched"": 12.0}"
Dreamer’s Rock,Cormyr,Suzail,652,93768,93,"{'humans': 565, 'halflings': 18, 'dwarves': 19, 'half-elves': 13, 'elves': 6}",48,Disease,['Magocracy'],"{'Aristocratic': 0, 'Wealthy': 3, 'Comfortable': 34, 'Modest': 117, 'Poor': 224, 'Squalid': 151, 'Wretched': 9}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,50.7,32.5,64,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 565.0, ""halflings"": 18.0, ""dwarves"": 19.0, ""half-elves"": 13.0, ""elves"": 6.0}","{""Aristocratic"": 0.0, ""Wealthy"": 3.0, ""Comfortable"": 34.0, ""Modest"": 117.0, ""Poor"": 224.0, ""Squalid"": 151.0, ""Wretched"": 9.0}"
Espar,Cormyr,Suzail,571,66539,66,"{'humans': 507, 'halflings': 17, 'dwarves': 17, 'half-elves': 11, 'elves': 5}",52,Work-related accidents,['Dictatorship'],"{'Aristocratic': 0, 'Wealthy': 3, 'Comfortable': 35, 'Modest': 53, 'Poor': 192, 'Squalid': 89, 'Wretched': 7}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,65.7,41.3,71,0,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 507.0, ""halflings"": 17.0, ""dwarves"": 17.0, ""half-elves"": 11.0, ""elves"": 5.0}","{""Aristocratic"": 0.0, ""Wealthy"": 3.0, ""Comfortable"": 35.0, ""Modest"": 53.0, ""Poor"": 192.0, ""Squalid"": 89.0, ""Wretched"": 7.0}"
Eveningstar,Cormyr,Suzail,962,139466,139,"{'humans': 876, 'halflings': 28, 'dwarves': 28, 'half-elves': 18, 'elves': 9}",49,Disease,['Theocracy'],"{'Aristocratic': 0, 'Wealthy': 5, 'Comfortable': 56, 'Modest': 176, 'Poor': 290, 'Squalid': 161, 'Wretched': 19}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,61.3,46,62,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 876.0, ""halflings"": 28.0, ""dwarves"": 28.0, ""half-elves"": 18.0, ""elves"": 9.0}","{""Aristocratic"": 0.0, ""Wealthy"": 5.0, ""Comfortable"": 56.0, ""Modest"": 176.0, ""Poor"": 290.0, ""Squalid"": 161.0, ""Wretched"": 19.0}"
Ghars,Cormyr,Suzail,1169,217868,218,"{'humans': 1018, 'halflings': 33, 'dwarves': 33, 'half-elves': 22, 'elves': 11}",49,Old age,['Patriarchy'],"{'Aristocratic': 0, 'Wealthy': 15, 'Comfortable': 85, 'Modest': 265, 'Poor': 368, 'Squalid': 283, 'Wretched': 46}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,65.9,40.4,73,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 1018.0, ""halflings"": 33.0, ""dwarves"": 33.0, ""half-elves"": 22.0, ""elves"": 11.0}","{""Aristocratic"": 0.0, ""Wealthy"": 15.0, ""Comfortable"": 85.0, ""Modest"": 265.0, ""Poor"": 368.0, ""Squalid"": 283.0, ""Wretched"": 46.0}"
Gladehap,Cormyr,Suzail,881,101178,101,"{'humans': 784, 'halflings': 25, 'dwarves': 25, 'half-elves': 18, 'elves': 8}",53,Exposure to the elements,['Kleptocracy'],"{'Aristocratic': 0, 'Wealthy': 3, 'Comfortable': 40, 'Modest': 113, 'Poor': 274, 'Squalid': 174, 'Wretched': 11}",0,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]",,"{'purple_dragons': 12000, 'war_wizards_of_cormyr': 200}",None,"['Chondathan', 'Common', 'Elven']","['Chauntea', 'Deneir', 'Helm', 'Lathander', 'Lliira', 'Oghma', 'Malar', 'Milie', 'Selûne', 'Silvanus', 'Tempus', 'Tymora', 'Waukeen']",1328229,175644,,50.5,37.3,83,1,,"[""['armor'"", ""'carved ivory'"", ""'cloth'"", ""'coal'"", ""'food'"", ""'swords'"", ""'timber']""]","[""['glass'"", ""'ivory'"", ""'spices']""]","{""humans"": 784.0, ""halflings"": 25.0, ""dwarves"": 25.0, ""half-elves"": 18.0, ""elves"": 8.0}","{""Aristocratic"": 0.0, ""Wealthy"": 3.0, ""Comfortable"": 40.0, ""Modest"": 113.0, ""Poor"": 274.0, ""Squalid"": 174.0, ""Wretched"": 11.0}"
