row_id,settlement,region_kingdom,import_item
18,Imnescar,Amn,['exotic goods (from maztica)'
18,Imnescar,Amn,'magic items'
18,Imnescar,Amn,'mercenaries'
18,Imnescar,Amn,'pearls'
18,Imnescar,Amn,'siege weapons']
19,Keczulla,Amn,['exotic goods (from maztica)'
19,Keczulla,Amn,'magic items'
19,Keczulla,Amn,'mercenaries'
19,Keczulla,Amn,'pearls'
19,Keczulla,Amn,'siege weapons']
20,Minsor Vale,Amn,['exotic goods (from maztica)'
20,Minsor Vale,Amn,'magic items'
20,Minsor Vale,Amn,'mercenaries'
20,Minsor Vale,Amn,'pearls'
20,Minsor Vale,Amn,'siege weapons']
21,Murann,Amn,['exotic goods (from maztica)'
21,Murann,Amn,'magic items'
21,Murann,Amn,'mercenaries'
21,Murann,Amn,'pearls'
21,Murann,Amn,'siege weapons']
22,Nashkel,Amn,['exotic goods (from maztica)'
22,Nashkel,Amn,'magic items'
22,Nashkel,Amn,'mercenaries'
22,Nashkel,Amn,'pearls'
22,Nashkel,Amn,'siege weapons']
23,Purskul,Amn,['exotic goods (from maztica)'
23,Purskul,Amn,'magic items'
23,Purskul,Amn,'mercenaries'
23,Purskul,Amn,'pearls'
23,Purskul,Amn,'siege weapons']
24,Quarrelshigh,Amn,['exotic goods (from maztica)'
24,Quarrelshigh,Amn,'magic items'
24,Quarrelshigh,Amn,'mercenaries'
24,Quarrelshigh,Amn,'pearls'
24,Quarrelshigh,Amn,'siege weapons']
25,Riatavin,Amn,['exotic goods (from maztica)'
25,Riatavin,Amn,'magic items'
25,Riatavin,Amn,'mercenaries'
25,Riatavin,Amn,'pearls'
25,Riatavin,Amn,'siege weapons']
26,Scimitar,Amn,['exotic goods (from maztica)'
26,Scimitar,Amn,'magic items'
26,Scimitar,Amn,'mercenaries'
26,Scimitar,Amn,'pearls'
26,Scimitar,Amn,'siege weapons']
27,Shatar,Amn,['exotic goods (from maztica)'
27,Shatar,Amn,'magic items'
27,Shatar,Amn,'mercenaries'
27,Shatar,Amn,'pearls'
27,Shatar,Amn,'siege weapons']
28,Shepherdston,Amn,['exotic goods (from maztica)'
28,Shepherdston,Amn,'magic items'
28,Shepherdston,Amn,'mercenaries'
28,Shepherdston,Amn,'pearls'
28,Shepherdston,Amn,'siege weapons']
29,Trademeet,Amn,['exotic goods (from maztica)'
29,Trademeet,Amn,'magic items'
29,Trademeet,Amn,'mercenaries'
29,Trademeet,Amn,'pearls'
29,Trademeet,Amn,'siege weapons']
30,Trailstone,Amn,['exotic goods (from maztica)'
30,Trailstone,Amn,'magic items'
30,Trailstone,Amn,'mercenaries'
30,Trailstone,Amn,'pearls'
30,Trailstone,Amn,'siege weapons']
31,Zinner,Amn,['exotic goods (from maztica)'
31,Zinner,Amn,'magic items'
31,Zinner,Amn,'mercenaries'
31,Zinner,Amn,'pearls'
31,Zinner,Amn,'siege weapons']
32,Calimport,Calimshan,['food'
32,Calimport,Calimshan,'enslaved peoples'
32,Calimport,Calimshan,'magic']
33,Almraiven,Calimshan,['food'
33,Almraiven,Calimshan,'enslaved peoples'
33,Almraiven,Calimshan,'magic']
34,Keltar,Calimshan,['food'
34,Keltar,Calimshan,'enslaved peoples'
34,Keltar,Calimshan,'magic']
35,Manshaka,Calimshan,['food'
35,Manshaka,Calimshan,'enslaved peoples'
35,Manshaka,Calimshan,'magic']
36,Memnon,Calimshan,['food'
36,Memnon,Calimshan,'enslaved peoples'
36,Memnon,Calimshan,'magic']
37,Schamedar,Calimshan,['food'
37,Schamedar,Calimshan,'enslaved peoples'
37,Schamedar,Calimshan,'magic']
38,Suldolphor,Calimshan,['food'
38,Suldolphor,Calimshan,'enslaved peoples'
38,Suldolphor,Calimshan,'magic']
39,Teshburl,Calimshan,['food'
39,Teshburl,Calimshan,'enslaved peoples'
39,Teshburl,Calimshan,'magic']
40,Volothamp,Calimshan,['food'
40,Volothamp,Calimshan,'enslaved peoples'
40,Volothamp,Calimshan,'magic']
41,Cimbar,Chessenta,['cheese'
41,Cimbar,Chessenta,'glass'
41,Cimbar,Chessenta,'horses'
41,Cimbar,Chessenta,'magic weapons'
41,Cimbar,Chessenta,'mercenaries'
41,Cimbar,Chessenta,'perfume'
41,Cimbar,Chessenta,'pork'
41,Cimbar,Chessenta,'slaves']
42,Airspur,Chessenta,['cheese'
42,Airspur,Chessenta,'glass'
42,Airspur,Chessenta,'horses'
42,Airspur,Chessenta,'magic weapons'
42,Airspur,Chessenta,'mercenaries'
42,Airspur,Chessenta,'perfume'
42,Airspur,Chessenta,'pork'
42,Airspur,Chessenta,'slaves']
43,Akanax,Chessenta,['cheese'
43,Akanax,Chessenta,'glass'
43,Akanax,Chessenta,'horses'
43,Akanax,Chessenta,'magic weapons'
43,Akanax,Chessenta,'mercenaries'
43,Akanax,Chessenta,'perfume'
43,Akanax,Chessenta,'pork'
43,Akanax,Chessenta,'slaves']
44,Erebos,Chessenta,['cheese'
44,Erebos,Chessenta,'glass'
44,Erebos,Chessenta,'horses'
44,Erebos,Chessenta,'magic weapons'
44,Erebos,Chessenta,'mercenaries'
44,Erebos,Chessenta,'perfume'
44,Erebos,Chessenta,'pork'
44,Erebos,Chessenta,'slaves']
45,Gaj,Chessenta,['cheese'
45,Gaj,Chessenta,'glass'
45,Gaj,Chessenta,'horses'
45,Gaj,Chessenta,'magic weapons'
45,Gaj,Chessenta,'mercenaries'
45,Gaj,Chessenta,'perfume'
45,Gaj,Chessenta,'pork'
45,Gaj,Chessenta,'slaves']
46,Heptios,Chessenta,['cheese'
46,Heptios,Chessenta,'glass'
46,Heptios,Chessenta,'horses'
46,Heptios,Chessenta,'magic weapons'
46,Heptios,Chessenta,'mercenaries'
46,Heptios,Chessenta,'perfume'
46,Heptios,Chessenta,'pork'
46,Heptios,Chessenta,'slaves']
47,Luthcheq,Chessenta,['cheese'
47,Luthcheq,Chessenta,'glass'
47,Luthcheq,Chessenta,'horses'
47,Luthcheq,Chessenta,'magic weapons'
47,Luthcheq,Chessenta,'mercenaries'
47,Luthcheq,Chessenta,'perfume'
47,Luthcheq,Chessenta,'pork'
47,Luthcheq,Chessenta,'slaves']
48,Maerduuth,Chessenta,['cheese'
48,Maerduuth,Chessenta,'glass'
48,Maerduuth,Chessenta,'horses'
48,Maerduuth,Chessenta,'magic weapons'
48,Maerduuth,Chessenta,'mercenaries'
48,Maerduuth,Chessenta,'perfume'
48,Maerduuth,Chessenta,'pork'
48,Maerduuth,Chessenta,'slaves']
49,Mordulkin,Chessenta,['cheese'
49,Mordulkin,Chessenta,'glass'
49,Mordulkin,Chessenta,'horses'
49,Mordulkin,Chessenta,'magic weapons'
49,Mordulkin,Chessenta,'mercenaries'
49,Mordulkin,Chessenta,'perfume'
49,Mordulkin,Chessenta,'pork'
49,Mordulkin,Chessenta,'slaves']
50,Oslin,Chessenta,['cheese'
50,Oslin,Chessenta,'glass'
50,Oslin,Chessenta,'horses'
50,Oslin,Chessenta,'magic weapons'
50,Oslin,Chessenta,'mercenaries'
50,Oslin,Chessenta,'perfume'
50,Oslin,Chessenta,'pork'
50,Oslin,Chessenta,'slaves']
51,Pandrik,Chessenta,['cheese'
51,Pandrik,Chessenta,'glass'
51,Pandrik,Chessenta,'horses'
51,Pandrik,Chessenta,'magic weapons'
51,Pandrik,Chessenta,'mercenaries'
51,Pandrik,Chessenta,'perfume'
51,Pandrik,Chessenta,'pork'
51,Pandrik,Chessenta,'slaves']
52,Rodanar,Chessenta,['cheese'
52,Rodanar,Chessenta,'glass'
52,Rodanar,Chessenta,'horses'
52,Rodanar,Chessenta,'magic weapons'
52,Rodanar,Chessenta,'mercenaries'
52,Rodanar,Chessenta,'perfume'
52,Rodanar,Chessenta,'pork'
52,Rodanar,Chessenta,'slaves']
53,Saden,Chessenta,['cheese'
53,Saden,Chessenta,'glass'
53,Saden,Chessenta,'horses'
53,Saden,Chessenta,'magic weapons'
53,Saden,Chessenta,'mercenaries'
53,Saden,Chessenta,'perfume'
53,Saden,Chessenta,'pork'
53,Saden,Chessenta,'slaves']
54,Samnur,Chessenta,['cheese'
54,Samnur,Chessenta,'glass'
54,Samnur,Chessenta,'horses'
54,Samnur,Chessenta,'magic weapons'
54,Samnur,Chessenta,'mercenaries'
54,Samnur,Chessenta,'perfume'
54,Samnur,Chessenta,'pork'
54,Samnur,Chessenta,'slaves']
55,Soolabax,Chessenta,['cheese'
55,Soolabax,Chessenta,'glass'
55,Soolabax,Chessenta,'horses'
55,Soolabax,Chessenta,'magic weapons'
55,Soolabax,Chessenta,'mercenaries'
55,Soolabax,Chessenta,'perfume'
55,Soolabax,Chessenta,'pork'
55,Soolabax,Chessenta,'slaves']
56,Soorenar,Chessenta,['cheese'
56,Soorenar,Chessenta,'glass'
56,Soorenar,Chessenta,'horses'
56,Soorenar,Chessenta,'magic weapons'
56,Soorenar,Chessenta,'mercenaries'
56,Soorenar,Chessenta,'perfume'
56,Soorenar,Chessenta,'pork'
56,Soorenar,Chessenta,'slaves']
57,Toreus,Chessenta,['cheese'
57,Toreus,Chessenta,'glass'
57,Toreus,Chessenta,'horses'
57,Toreus,Chessenta,'magic weapons'
57,Toreus,Chessenta,'mercenaries'
57,Toreus,Chessenta,'perfume'
57,Toreus,Chessenta,'pork'
57,Toreus,Chessenta,'slaves']
58,Tulach,Chessenta,['cheese'
58,Tulach,Chessenta,'glass'
58,Tulach,Chessenta,'horses'
58,Tulach,Chessenta,'magic weapons'
58,Tulach,Chessenta,'mercenaries'
58,Tulach,Chessenta,'perfume'
58,Tulach,Chessenta,'pork'
58,Tulach,Chessenta,'slaves']
59,Villon,Chessenta,['cheese'
59,Villon,Chessenta,'glass'
59,Villon,Chessenta,'horses'
59,Villon,Chessenta,'magic weapons'
59,Villon,Chessenta,'mercenaries'
59,Villon,Chessenta,'perfume'
59,Villon,Chessenta,'pork'
59,Villon,Chessenta,'slaves']
60,Suzail,Cormyr,['glass'
60,Suzail,Cormyr,'ivory'
60,Suzail,Cormyr,'spices']
61,Arabel,Cormyr,['glass'
61,Arabel,Cormyr,'ivory'
61,Arabel,Cormyr,'spices']
62,Aunkspear,Cormyr,['glass'
62,Aunkspear,Cormyr,'ivory'
62,Aunkspear,Cormyr,'spices']
63,Battlerise,Cormyr,['glass'
63,Battlerise,Cormyr,'ivory'
63,Battlerise,Cormyr,'spices']
64,Besert,Cormyr,['glass'
64,Besert,Cormyr,'ivory'
64,Besert,Cormyr,'spices']
65,Blustich,Cormyr,['glass'
65,Blustich,Cormyr,'ivory'
65,Blustich,Cormyr,'spices']
66,Bogbrook,Cormyr,['glass'
66,Bogbrook,Cormyr,'ivory'
66,Bogbrook,Cormyr,'spices']
67,Bospir,Cormyr,['glass'
67,Bospir,Cormyr,'ivory'
67,Bospir,Cormyr,'spices']
68,Castle Crag,Cormyr,['glass'
68,Castle Crag,Cormyr,'ivory'
68,Castle Crag,Cormyr,'spices']
69,Dawngleam,Cormyr,['glass'
69,Dawngleam,Cormyr,'ivory'
69,Dawngleam,Cormyr,'spices']
70,Dhedluk,Cormyr,['glass'
70,Dhedluk,Cormyr,'ivory'
70,Dhedluk,Cormyr,'spices']
71,Dreamer’s Rock,Cormyr,['glass'
71,Dreamer’s Rock,Cormyr,'ivory'
71,Dreamer’s Rock,Cormyr,'spices']
72,Espar,Cormyr,['glass'
72,Espar,Cormyr,'ivory'
72,Espar,Cormyr,'spices']
73,Eveningstar,Cormyr,['glass'
73,Eveningstar,Cormyr,'ivory'
73,Eveningstar,Cormyr,'spices']
74,Ghars,Cormyr,['glass'
74,Ghars,Cormyr,'ivory'
74,Ghars,Cormyr,'spices']
75,Gladehap,Cormyr,['glass'
75,Gladehap,Cormyr,'ivory'
75,Gladehap,Cormyr,'spices']
76,Gorthin,Cormyr,['glass'
76,Gorthin,Cormyr,'ivory'
76,Gorthin,Cormyr,'spices']
77,Gray Oaks,Cormyr,['glass'
77,Gray Oaks,Cormyr,'ivory'
77,Gray Oaks,Cormyr,'spices']
78,Halfhap,Cormyr,['glass'
78,Halfhap,Cormyr,'ivory'
78,Halfhap,Cormyr,'spices']
79,High Horn,Cormyr,['glass'
79,High Horn,Cormyr,'ivory'
79,High Horn,Cormyr,'spices']
80,Hillmarch,Cormyr,['glass'
80,Hillmarch,Cormyr,'ivory'
80,Hillmarch,Cormyr,'spices']
81,Hilp,Cormyr,['glass'
81,Hilp,Cormyr,'ivory'
81,Hilp,Cormyr,'spices']
82,Hultail,Cormyr,['glass'
82,Hultail,Cormyr,'ivory'
82,Hultail,Cormyr,'spices']
83,Immersea,Cormyr,['glass'
83,Immersea,Cormyr,'ivory'
83,Immersea,Cormyr,'spices']
84,Juniril,Cormyr,['glass'
84,Juniril,Cormyr,'ivory'
84,Juniril,Cormyr,'spices']
85,Kallamarn,Cormyr,['glass'
85,Kallamarn,Cormyr,'ivory'
85,Kallamarn,Cormyr,'spices']
86,Kirinwood,Cormyr,['glass'
86,Kirinwood,Cormyr,'ivory'
86,Kirinwood,Cormyr,'spices']
87,Knightswood,Cormyr,['glass'
87,Knightswood,Cormyr,'ivory'
87,Knightswood,Cormyr,'spices']
88,Marsark’s Grove,Cormyr,['glass'
88,Marsark’s Grove,Cormyr,'ivory'
88,Marsark’s Grove,Cormyr,'spices']
89,Marsember,Cormyr,['glass'
89,Marsember,Cormyr,'ivory'
89,Marsember,Cormyr,'spices']
90,Minroe,Cormyr,['glass'
90,Minroe,Cormyr,'ivory'
90,Minroe,Cormyr,'spices']
91,Monksblade,Cormyr,['glass'
91,Monksblade,Cormyr,'ivory'
91,Monksblade,Cormyr,'spices']
92,Moonever,Cormyr,['glass'
92,Moonever,Cormyr,'ivory'
92,Moonever,Cormyr,'spices']
93,Mouth O’ Gargoyles,Cormyr,['glass'
93,Mouth O’ Gargoyles,Cormyr,'ivory'
93,Mouth O’ Gargoyles,Cormyr,'spices']
94,Nesmyth,Cormyr,['glass'
94,Nesmyth,Cormyr,'ivory'
94,Nesmyth,Cormyr,'spices']
95,Ongul’s Water,Cormyr,['glass'
95,Ongul’s Water,Cormyr,'ivory'
95,Ongul’s Water,Cormyr,'spices']
96,Redspring,Cormyr,['glass'
96,Redspring,Cormyr,'ivory'
96,Redspring,Cormyr,'spices']
97,Smuggler’s Stone,Cormyr,['glass'
97,Smuggler’s Stone,Cormyr,'ivory'
97,Smuggler’s Stone,Cormyr,'spices']
98,Stag Steads,Cormyr,['glass'
98,Stag Steads,Cormyr,'ivory'
98,Stag Steads,Cormyr,'spices']
99,Sunset Hill,Cormyr,['glass'
99,Sunset Hill,Cormyr,'ivory'
99,Sunset Hill,Cormyr,'spices']
100,Thunderstone,Cormyr,['glass'
100,Thunderstone,Cormyr,'ivory'
100,Thunderstone,Cormyr,'spices']
101,Tilverton,Cormyr,['glass'
101,Tilverton,Cormyr,'ivory'
101,Tilverton,Cormyr,'spices']
102,Tyrluk,Cormyr,['glass'
102,Tyrluk,Cormyr,'ivory'
102,Tyrluk,Cormyr,'spices']
103,Waymoot,Cormyr,['glass'
103,Waymoot,Cormyr,'ivory'
103,Waymoot,Cormyr,'spices']
104,Wheloon,Cormyr,['glass'
104,Wheloon,Cormyr,'ivory'
104,Wheloon,Cormyr,'spices']
105,Wormtower,Cormyr,['glass'
105,Wormtower,Cormyr,'ivory'
105,Wormtower,Cormyr,'spices']
106,Yeoman Bridge,Cormyr,['glass'
106,Yeoman Bridge,Cormyr,'ivory'
106,Yeoman Bridge,Cormyr,'spices']
142,Halarahh,Halruaa,['exotic magic items'
142,Halarahh,Halruaa,'jewellery'
142,Halarahh,Halruaa,'precious metals'
142,Halarahh,Halruaa,'musical instruments'
142,Halarahh,Halruaa,'silk']
143,Achelar,Halruaa,['exotic magic items'
143,Achelar,Halruaa,'jewellery'
143,Achelar,Halruaa,'precious metals'
143,Achelar,Halruaa,'musical instruments'
143,Achelar,Halruaa,'silk']
144,Alathil,Halruaa,['exotic magic items'
144,Alathil,Halruaa,'jewellery'
144,Alathil,Halruaa,'precious metals'
144,Alathil,Halruaa,'musical instruments'
144,Alathil,Halruaa,'silk']
145,Alu,Halruaa,['exotic magic items'
145,Alu,Halruaa,'jewellery'
145,Alu,Halruaa,'precious metals'
145,Alu,Halruaa,'musical instruments'
145,Alu,Halruaa,'silk']
146,Aluarim,Halruaa,['exotic magic items'
146,Aluarim,Halruaa,'jewellery'
146,Aluarim,Halruaa,'precious metals'
146,Aluarim,Halruaa,'musical instruments'
146,Aluarim,Halruaa,'silk']
147,Assundath,Halruaa,['exotic magic items'
147,Assundath,Halruaa,'jewellery'
147,Assundath,Halruaa,'precious metals'
147,Assundath,Halruaa,'musical instruments'
147,Assundath,Halruaa,'silk']
148,Bathmé,Halruaa,['exotic magic items'
148,Bathmé,Halruaa,'jewellery'
148,Bathmé,Halruaa,'precious metals'
148,Bathmé,Halruaa,'musical instruments'
148,Bathmé,Halruaa,'silk']
149,Borah,Halruaa,['exotic magic items'
149,Borah,Halruaa,'jewellery'
149,Borah,Halruaa,'precious metals'
149,Borah,Halruaa,'musical instruments'
149,Borah,Halruaa,'silk']
150,Edouura,Halruaa,['exotic magic items'
150,Edouura,Halruaa,'jewellery'
150,Edouura,Halruaa,'precious metals'
150,Edouura,Halruaa,'musical instruments'
150,Edouura,Halruaa,'silk']
151,Elchul,Halruaa,['exotic magic items'
151,Elchul,Halruaa,'jewellery'
151,Elchul,Halruaa,'precious metals'
151,Elchul,Halruaa,'musical instruments'
151,Elchul,Halruaa,'silk']
152,Eru,Halruaa,['exotic magic items'
152,Eru,Halruaa,'jewellery'
152,Eru,Halruaa,'precious metals'
152,Eru,Halruaa,'musical instruments'
152,Eru,Halruaa,'silk']
153,Galdel,Halruaa,['exotic magic items'
153,Galdel,Halruaa,'jewellery'
153,Galdel,Halruaa,'precious metals'
153,Galdel,Halruaa,'musical instruments'
153,Galdel,Halruaa,'silk']
154,Githim,Halruaa,['exotic magic items'
154,Githim,Halruaa,'jewellery'
154,Githim,Halruaa,'precious metals'
154,Githim,Halruaa,'musical instruments'
154,Githim,Halruaa,'silk']
155,Halabar,Halruaa,['exotic magic items'
155,Halabar,Halruaa,'jewellery'
155,Halabar,Halruaa,'precious metals'
155,Halabar,Halruaa,'musical instruments'
155,Halabar,Halruaa,'silk']
156,Halagard,Halruaa,['exotic magic items'
156,Halagard,Halruaa,'jewellery'
156,Halagard,Halruaa,'precious metals'
156,Halagard,Halruaa,'musical instruments'
156,Halagard,Halruaa,'silk']
157,Halazé,Halruaa,['exotic magic items'
157,Halazé,Halruaa,'jewellery'
157,Halazé,Halruaa,'precious metals'
157,Halazé,Halruaa,'musical instruments'
157,Halazé,Halruaa,'silk']
158,Hamphal,Halruaa,['exotic magic items'
158,Hamphal,Halruaa,'jewellery'
158,Hamphal,Halruaa,'precious metals'
158,Hamphal,Halruaa,'musical instruments'
158,Hamphal,Halruaa,'silk']
159,Khaerbaal,Halruaa,['exotic magic items'
159,Khaerbaal,Halruaa,'jewellery'
159,Khaerbaal,Halruaa,'precious metals'
159,Khaerbaal,Halruaa,'musical instruments'
159,Khaerbaal,Halruaa,'silk']
160,Kithyym,Halruaa,['exotic magic items'
160,Kithyym,Halruaa,'jewellery'
160,Kithyym,Halruaa,'precious metals'
160,Kithyym,Halruaa,'musical instruments'
160,Kithyym,Halruaa,'silk']
161,Lath,Halruaa,['exotic magic items'
161,Lath,Halruaa,'jewellery'
161,Lath,Halruaa,'precious metals'
161,Lath,Halruaa,'musical instruments'
161,Lath,Halruaa,'silk']
162,Letharr,Halruaa,['exotic magic items'
162,Letharr,Halruaa,'jewellery'
162,Letharr,Halruaa,'precious metals'
162,Letharr,Halruaa,'musical instruments'
162,Letharr,Halruaa,'silk']
163,Lhaddas,Halruaa,['exotic magic items'
163,Lhaddas,Halruaa,'jewellery'
163,Lhaddas,Halruaa,'precious metals'
163,Lhaddas,Halruaa,'musical instruments'
163,Lhaddas,Halruaa,'silk']
164,Lhair,Halruaa,['exotic magic items'
164,Lhair,Halruaa,'jewellery'
164,Lhair,Halruaa,'precious metals'
164,Lhair,Halruaa,'musical instruments'
164,Lhair,Halruaa,'silk']
165,Maerass,Halruaa,['exotic magic items'
165,Maerass,Halruaa,'jewellery'
165,Maerass,Halruaa,'precious metals'
165,Maerass,Halruaa,'musical instruments'
165,Maerass,Halruaa,'silk']
166,Maeruhal,Halruaa,['exotic magic items'
166,Maeruhal,Halruaa,'jewellery'
166,Maeruhal,Halruaa,'precious metals'
166,Maeruhal,Halruaa,'musical instruments'
166,Maeruhal,Halruaa,'silk']
167,Maerzalar,Halruaa,['exotic magic items'
167,Maerzalar,Halruaa,'jewellery'
167,Maerzalar,Halruaa,'precious metals'
167,Maerzalar,Halruaa,'musical instruments'
167,Maerzalar,Halruaa,'silk']
168,Maezoun,Halruaa,['exotic magic items'
168,Maezoun,Halruaa,'jewellery'
168,Maezoun,Halruaa,'precious metals'
168,Maezoun,Halruaa,'musical instruments'
168,Maezoun,Halruaa,'silk']
169,Mairb,Halruaa,['exotic magic items'
169,Mairb,Halruaa,'jewellery'
169,Mairb,Halruaa,'precious metals'
169,Mairb,Halruaa,'musical instruments'
169,Mairb,Halruaa,'silk']
170,Martass,Halruaa,['exotic magic items'
170,Martass,Halruaa,'jewellery'
170,Martass,Halruaa,'precious metals'
170,Martass,Halruaa,'musical instruments'
170,Martass,Halruaa,'silk']
171,Mithel,Halruaa,['exotic magic items'
171,Mithel,Halruaa,'jewellery'
171,Mithel,Halruaa,'precious metals'
171,Mithel,Halruaa,'musical instruments'
171,Mithel,Halruaa,'silk']
172,Mithtar,Halruaa,['exotic magic items'
172,Mithtar,Halruaa,'jewellery'
172,Mithtar,Halruaa,'precious metals'
172,Mithtar,Halruaa,'musical instruments'
172,Mithtar,Halruaa,'silk']
173,Nishtul,Halruaa,['exotic magic items'
173,Nishtul,Halruaa,'jewellery'
173,Nishtul,Halruaa,'precious metals'
173,Nishtul,Halruaa,'musical instruments'
173,Nishtul,Halruaa,'silk']
174,Nuulatha,Halruaa,['exotic magic items'
174,Nuulatha,Halruaa,'jewellery'
174,Nuulatha,Halruaa,'precious metals'
174,Nuulatha,Halruaa,'musical instruments'
174,Nuulatha,Halruaa,'silk']
175,Orbedal,Halruaa,['exotic magic items'
175,Orbedal,Halruaa,'jewellery'
175,Orbedal,Halruaa,'precious metals'
175,Orbedal,Halruaa,'musical instruments'
175,Orbedal,Halruaa,'silk']
176,Rulasuu,Halruaa,['exotic magic items'
176,Rulasuu,Halruaa,'jewellery'
176,Rulasuu,Halruaa,'precious metals'
176,Rulasuu,Halruaa,'musical instruments'
176,Rulasuu,Halruaa,'silk']
177,Rwamphaler,Halruaa,['exotic magic items'
177,Rwamphaler,Halruaa,'jewellery'
177,Rwamphaler,Halruaa,'precious metals'
177,Rwamphaler,Halruaa,'musical instruments'
177,Rwamphaler,Halruaa,'silk']
178,Salhantar,Halruaa,['exotic magic items'
178,Salhantar,Halruaa,'jewellery'
178,Salhantar,Halruaa,'precious metals'
178,Salhantar,Halruaa,'musical instruments'
178,Salhantar,Halruaa,'silk']
179,Ssorsil,Halruaa,['exotic magic items'
179,Ssorsil,Halruaa,'jewellery'
179,Ssorsil,Halruaa,'precious metals'
179,Ssorsil,Halruaa,'musical instruments'
179,Ssorsil,Halruaa,'silk']
180,Sulaziir,Halruaa,['exotic magic items'
180,Sulaziir,Halruaa,'jewellery'
180,Sulaziir,Halruaa,'precious metals'
180,Sulaziir,Halruaa,'musical instruments'
180,Sulaziir,Halruaa,'silk']
181,Talathgard,Halruaa,['exotic magic items'
181,Talathgard,Halruaa,'jewellery'
181,Talathgard,Halruaa,'precious metals'
181,Talathgard,Halruaa,'musical instruments'
181,Talathgard,Halruaa,'silk']
182,Thilzoun,Halruaa,['exotic magic items'
182,Thilzoun,Halruaa,'jewellery'
182,Thilzoun,Halruaa,'precious metals'
182,Thilzoun,Halruaa,'musical instruments'
182,Thilzoun,Halruaa,'silk']
183,Thom,Halruaa,['exotic magic items'
183,Thom,Halruaa,'jewellery'
183,Thom,Halruaa,'precious metals'
