row_id,settlement,region_kingdom,social_class,share
38,Suldolphor,Calimshan,Wealthy,247.0
38,Suldolphor,Calimshan,Comfortable,1615.0
38,Suldolphor,Calimshan,Modest,1478.0
38,Suldolphor,Calimshan,Poor,4575.0
38,Suldolphor,Calimshan,Squalid,3833.0
38,Suldolphor,Calimshan,Wretched,822.0
39,Teshburl,Calimshan,Aristocratic,100.0
39,Teshburl,Calimshan,Wealthy,621.0
39,Teshburl,Calimshan,Comfortable,2367.0
39,Teshburl,Calimshan,Modest,3971.0
39,Teshburl,Calimshan,Poor,6852.0
39,Teshburl,Calimshan,Squalid,5755.0
39,Teshburl,Calimshan,Wretched,1664.0
40,Volothamp,Calimshan,Aristocratic,118.0
40,Volothamp,Calimshan,Wealthy,591.0
40,Volothamp,Calimshan,Comfortable,4405.0
40,Volothamp,Calimshan,Modest,5767.0
40,Volothamp,Calimshan,Poor,11304.0
40,Volothamp,Calimshan,Squalid,12207.0
40,Volothamp,Calimshan,Wretched,2229.0
41,Cimbar,Chessenta,Aristocratic,24.0
41,Cimbar,Chessenta,Wealthy,245.0
41,Cimbar,Chessenta,Comfortable,1125.0
41,Cimbar,Chessenta,Modest,1402.0
41,Cimbar,Chessenta,Poor,3584.0
41,Cimbar,Chessenta,Squalid,3227.0
41,Cimbar,Chessenta,Wretched,1023.0
42,Airspur,Chessenta,Aristocratic,5.0
42,Airspur,Chessenta,Wealthy,570.0
42,Airspur,Chessenta,Comfortable,2292.0
42,Airspur,Chessenta,Modest,2694.0
42,Airspur,Chessenta,Poor,7690.0
42,Airspur,Chessenta,Squalid,7643.0
42,Airspur,Chessenta,Wretched,2017.0
43,Akanax,Chessenta,Aristocratic,103.0
43,Akanax,Chessenta,Wealthy,380.0
43,Akanax,Chessenta,Comfortable,2838.0
43,Akanax,Chessenta,Modest,3872.0
43,Akanax,Chessenta,Poor,8420.0
43,Akanax,Chessenta,Squalid,8928.0
43,Akanax,Chessenta,Wretched,2258.0
44,Erebos,Chessenta,Aristocratic,3.0
44,Erebos,Chessenta,Wealthy,105.0
44,Erebos,Chessenta,Comfortable,520.0
44,Erebos,Chessenta,Modest,1847.0
44,Erebos,Chessenta,Poor,2375.0
44,Erebos,Chessenta,Squalid,1441.0
44,Erebos,Chessenta,Wretched,369.0
45,Gaj,Chessenta,Aristocratic,1.0
45,Gaj,Chessenta,Wealthy,92.0
45,Gaj,Chessenta,Comfortable,381.0
45,Gaj,Chessenta,Modest,1309.0
45,Gaj,Chessenta,Poor,2038.0
45,Gaj,Chessenta,Squalid,1644.0
45,Gaj,Chessenta,Wretched,382.0
46,Heptios,Chessenta,Aristocratic,2.0
46,Heptios,Chessenta,Wealthy,133.0
46,Heptios,Chessenta,Comfortable,567.0
46,Heptios,Chessenta,Modest,1602.0
46,Heptios,Chessenta,Poor,2694.0
46,Heptios,Chessenta,Squalid,2003.0
46,Heptios,Chessenta,Wretched,274.0
47,Luthcheq,Chessenta,Aristocratic,93.0
47,Luthcheq,Chessenta,Wealthy,1341.0
47,Luthcheq,Chessenta,Comfortable,6488.0
47,Luthcheq,Chessenta,Modest,7564.0
47,Luthcheq,Chessenta,Poor,19982.0
47,Luthcheq,Chessenta,Squalid,15575.0
47,Luthcheq,Chessenta,Wretched,3162.0
48,Maerduuth,Chessenta,Aristocratic,49.0
48,Maerduuth,Chessenta,Wealthy,161.0
48,Maerduuth,Chessenta,Comfortable,928.0
48,Maerduuth,Chessenta,Modest,1879.0
48,Maerduuth,Chessenta,Poor,4405.0
48,Maerduuth,Chessenta,Squalid,2686.0
48,Maerduuth,Chessenta,Wretched,892.0
49,Mordulkin,Chessenta,Aristocratic,26.0
49,Mordulkin,Chessenta,Wealthy,716.0
49,Mordulkin,Chessenta,Comfortable,4110.0
49,Mordulkin,Chessenta,Modest,5939.0
49,Mordulkin,Chessenta,Poor,11032.0
49,Mordulkin,Chessenta,Squalid,10202.0
49,Mordulkin,Chessenta,Wretched,3139.0
50,Oslin,Chessenta,Aristocratic,2.0
50,Oslin,Chessenta,Wealthy,104.0
50,Oslin,Chessenta,Comfortable,401.0
50,Oslin,Chessenta,Modest,575.0
50,Oslin,Chessenta,Poor,1700.0
50,Oslin,Chessenta,Squalid,1647.0
50,Oslin,Chessenta,Wretched,334.0
51,Pandrik,Chessenta,Aristocratic,0.0
51,Pandrik,Chessenta,Wealthy,19.0
51,Pandrik,Chessenta,Comfortable,80.0
51,Pandrik,Chessenta,Modest,255.0
51,Pandrik,Chessenta,Poor,393.0
51,Pandrik,Chessenta,Squalid,334.0
51,Pandrik,Chessenta,Wretched,88.0
52,Rodanar,Chessenta,Aristocratic,2.0
52,Rodanar,Chessenta,Wealthy,52.0
52,Rodanar,Chessenta,Comfortable,293.0
52,Rodanar,Chessenta,Modest,1183.0
52,Rodanar,Chessenta,Poor,1440.0
52,Rodanar,Chessenta,Squalid,1408.0
52,Rodanar,Chessenta,Wretched,322.0
53,Saden,Chessenta,Aristocratic,0.0
53,Saden,Chessenta,Wealthy,3.0
53,Saden,Chessenta,Comfortable,62.0
53,Saden,Chessenta,Modest,79.0
53,Saden,Chessenta,Poor,280.0
53,Saden,Chessenta,Squalid,193.0
53,Saden,Chessenta,Wretched,12.0
54,Samnur,Chessenta,Aristocratic,0.0
54,Samnur,Chessenta,Wealthy,20.0
54,Samnur,Chessenta,Comfortable,134.0
54,Samnur,Chessenta,Modest,203.0
54,Samnur,Chessenta,Poor,515.0
54,Samnur,Chessenta,Squalid,402.0
54,Samnur,Chessenta,Wretched,108.0
55,Soolabax,Chessenta,Aristocratic,0.0
55,Soolabax,Chessenta,Wealthy,33.0
55,Soolabax,Chessenta,Comfortable,120.0
55,Soolabax,Chessenta,Modest,355.0
55,Soolabax,Chessenta,Poor,569.0
55,Soolabax,Chessenta,Squalid,344.0
55,Soolabax,Chessenta,Wretched,119.0
56,Soorenar,Chessenta,Aristocratic,54.0
56,Soorenar,Chessenta,Wealthy,1297.0
56,Soorenar,Chessenta,Comfortable,6842.0
56,Soorenar,Chessenta,Modest,15045.0
56,Soorenar,Chessenta,Poor,23312.0
56,Soorenar,Chessenta,Squalid,22255.0
56,Soorenar,Chessenta,Wretched,6816.0
57,Toreus,Chessenta,Aristocratic,1.0
57,Toreus,Chessenta,Wealthy,43.0
57,Toreus,Chessenta,Comfortable,243.0
57,Toreus,Chessenta,Modest,430.0
57,Toreus,Chessenta,Poor,1250.0
57,Toreus,Chessenta,Squalid,749.0
57,Toreus,Chessenta,Wretched,146.0
58,Tulach,Chessenta,Aristocratic,0.0
58,Tulach,Chessenta,Wealthy,24.0
58,Tulach,Chessenta,Comfortable,180.0
58,Tulach,Chessenta,Modest,273.0
58,Tulach,Chessenta,Poor,801.0
58,Tulach,Chessenta,Squalid,595.0
58,Tulach,Chessenta,Wretched,73.0
59,Villon,Chessenta,Aristocratic,0.0
59,Villon,Chessenta,Wealthy,5.0
59,Villon,Chessenta,Comfortable,33.0
59,Villon,Chessenta,Modest,85.0
59,Villon,Chessenta,Poor,242.0
59,Villon,Chessenta,Squalid,194.0
59,Villon,Chessenta,Wretched,13.0
60,Suzail,Cormyr,Aristocratic,689.0
60,Suzail,Cormyr,Wealthy,3224.0
60,Suzail,Cormyr,Comfortable,14929.0
60,Suzail,Cormyr,Modest,21951.0
60,Suzail,Cormyr,Poor,39429.0
60,Suzail,Cormyr,Squalid,45305.0
60,Suzail,Cormyr,Wretched,12830.0
61,Arabel,Cormyr,Aristocratic,14.0
61,Arabel,Cormyr,Wealthy,776.0
61,Arabel,Cormyr,Comfortable,3675.0
61,Arabel,Cormyr,Modest,5260.0
61,Arabel,Cormyr,Poor,9537.0
61,Arabel,Cormyr,Squalid,10116.0
61,Arabel,Cormyr,Wretched,1933.0
62,Aunkspear,Cormyr,Aristocratic,97.0
62,Aunkspear,Cormyr,Wealthy,1100.0
62,Aunkspear,Cormyr,Comfortable,4045.0
62,Aunkspear,Cormyr,Modest,9416.0
62,Aunkspear,Cormyr,Poor,18359.0
62,Aunkspear,Cormyr,Squalid,13317.0
62,Aunkspear,Cormyr,Wretched,3976.0
63,Battlerise,Cormyr,Aristocratic,3.0
63,Battlerise,Cormyr,Wealthy,95.0
63,Battlerise,Cormyr,Comfortable,502.0
63,Battlerise,Cormyr,Modest,1612.0
63,Battlerise,Cormyr,Poor,2495.0
63,Battlerise,Cormyr,Squalid,1930.0
63,Battlerise,Cormyr,Wretched,269.0
64,Besert,Cormyr,Aristocratic,0.0
64,Besert,Cormyr,Wealthy,2.0
64,Besert,Cormyr,Comfortable,28.0
64,Besert,Cormyr,Modest,64.0
64,Besert,Cormyr,Poor,141.0
64,Besert,Cormyr,Squalid,96.0
64,Besert,Cormyr,Wretched,7.0
65,Blustich,Cormyr,Aristocratic,1.0
65,Blustich,Cormyr,Wealthy,80.0
65,Blustich,Cormyr,Comfortable,337.0
65,Blustich,Cormyr,Modest,885.0
65,Blustich,Cormyr,Poor,1579.0
65,Blustich,Cormyr,Squalid,1483.0
65,Blustich,Cormyr,Wretched,387.0
66,Bogbrook,Cormyr,Aristocratic,0.0
66,Bogbrook,Cormyr,Wealthy,0.0
66,Bogbrook,Cormyr,Comfortable,44.0
66,Bogbrook,Cormyr,Modest,102.0
66,Bogbrook,Cormyr,Poor,248.0
66,Bogbrook,Cormyr,Squalid,198.0
66,Bogbrook,Cormyr,Wretched,14.0
67,Bospir,Cormyr,Aristocratic,0.0
67,Bospir,Cormyr,Wealthy,36.0
67,Bospir,Cormyr,Comfortable,199.0
67,Bospir,Cormyr,Modest,618.0
67,Bospir,Cormyr,Poor,899.0
67,Bospir,Cormyr,Squalid,748.0
67,Bospir,Cormyr,Wretched,86.0
68,Castle Crag,Cormyr,Aristocratic,0.0
68,Castle Crag,Cormyr,Wealthy,3.0
68,Castle Crag,Cormyr,Comfortable,25.0
68,Castle Crag,Cormyr,Modest,42.0
68,Castle Crag,Cormyr,Poor,164.0
68,Castle Crag,Cormyr,Squalid,141.0
68,Castle Crag,Cormyr,Wretched,7.0
69,Dawngleam,Cormyr,Aristocratic,0.0
69,Dawngleam,Cormyr,Wealthy,4.0
69,Dawngleam,Cormyr,Comfortable,40.0
69,Dawngleam,Cormyr,Modest,100.0
69,Dawngleam,Cormyr,Poor,273.0
69,Dawngleam,Cormyr,Squalid,203.0
69,Dawngleam,Cormyr,Wretched,14.0
70,Dhedluk,Cormyr,Aristocratic,0.0
70,Dhedluk,Cormyr,Wealthy,2.0
70,Dhedluk,Cormyr,Comfortable,48.0
70,Dhedluk,Cormyr,Modest,69.0
70,Dhedluk,Cormyr,Poor,289.0
70,Dhedluk,Cormyr,Squalid,142.0
70,Dhedluk,Cormyr,Wretched,12.0
71,Dreamer’s Rock,Cormyr,Aristocratic,0.0
71,Dreamer’s Rock,Cormyr,Wealthy,3.0
71,Dreamer’s Rock,Cormyr,Comfortable,34.0
71,Dreamer’s Rock,Cormyr,Modest,117.0
71,Dreamer’s Rock,Cormyr,Poor,224.0
71,Dreamer’s Rock,Cormyr,Squalid,151.0
71,Dreamer’s Rock,Cormyr,Wretched,9.0
72,Espar,Cormyr,Aristocratic,0.0
72,Espar,Cormyr,Wealthy,3.0
72,Espar,Cormyr,Comfortable,35.0
72,Espar,Cormyr,Modest,53.0
72,Espar,Cormyr,Poor,192.0
72,Espar,Cormyr,Squalid,89.0
72,Espar,Cormyr,Wretched,7.0
73,Eveningstar,Cormyr,Aristocratic,0.0
73,Eveningstar,Cormyr,Wealthy,5.0
73,Eveningstar,Cormyr,Comfortable,56.0
73,Eveningstar,Cormyr,Modest,176.0
73,Eveningstar,Cormyr,Poor,290.0
73,Eveningstar,Cormyr,Squalid,161.0
73,Eveningstar,Cormyr,Wretched,19.0
74,Ghars,Cormyr,Aristocratic,0.0
74,Ghars,Cormyr,Wealthy,15.0
74,Ghars,Cormyr,Comfortable,85.0
74,Ghars,Cormyr,Modest,265.0
74,Ghars,Cormyr,Poor,368.0
74,Ghars,Cormyr,Squalid,283.0
74,Ghars,Cormyr,Wretched,46.0
75,Gladehap,Cormyr,Aristocratic,0.0
75,Gladehap,Cormyr,Wealthy,3.0
75,Gladehap,Cormyr,Comfortable,40.0
75,Gladehap,Cormyr,Modest,113.0
75,Gladehap,Cormyr,Poor,274.0
75,Gladehap,Cormyr,Squalid,174.0
75,Gladehap,Cormyr,Wretched,11.0
76,Gorthin,Cormyr,Aristocratic,2.0
76,Gorthin,Cormyr,Wealthy,73.0
76,Gorthin,Cormyr,Comfortable,403.0
76,Gorthin,Cormyr,Modest,1126.0
76,Gorthin,Cormyr,Poor,1977.0
76,Gorthin,Cormyr,Squalid,1120.0
76,Gorthin,Cormyr,Wretched,392.0
77,Gray Oaks,Cormyr,Aristocratic,0.0
77,Gray Oaks,Cormyr,Wealthy,0.0
77,Gray Oaks,Cormyr,Comfortable,5.0
77,Gray Oaks,Cormyr,Modest,8.0
77,Gray Oaks,Cormyr,Poor,32.0
77,Gray Oaks,Cormyr,Squalid,22.0
77,Gray Oaks,Cormyr,Wretched,0.0
78,Halfhap,Cormyr,Aristocratic,0.0
78,Halfhap,Cormyr,Wealthy,31.0
78,Halfhap,Cormyr,Comfortable,177.0
78,Halfhap,Cormyr,Modest,500.0
78,Halfhap,Cormyr,Poor,718.0
78,Halfhap,Cormyr,Squalid,547.0
78,Halfhap,Cormyr,Wretched,101.0
79,High Horn,Cormyr,Aristocratic,0.0
79,High Horn,Cormyr,Wealthy,2.0
79,High Horn,Cormyr,Comfortable,16.0
79,High Horn,Cormyr,Modest,58.0
79,High Horn,Cormyr,Poor,127.0
79,High Horn,Cormyr,Squalid,110.0
79,High Horn,Cormyr,Wretched,4.0
80,Hillmarch,Cormyr,Aristocratic,0.0
80,Hillmarch,Cormyr,Wealthy,82.0
80,Hillmarch,Cormyr,Comfortable,362.0
80,Hillmarch,Cormyr,Modest,1100.0
80,Hillmarch,Cormyr,Poor,1715.0
80,Hillmarch,Cormyr,Squalid,1330.0
80,Hillmarch,Cormyr,Wretched,404.0
81,Hilp,Cormyr,Aristocratic,0.0
81,Hilp,Cormyr,Wealthy,0.0
81,Hilp,Cormyr,Comfortable,13.0
81,Hilp,Cormyr,Modest,37.0
81,Hilp,Cormyr,Poor,88.0
81,Hilp,Cormyr,Squalid,50.0
81,Hilp,Cormyr,Wretched,3.0
82,Hultail,Cormyr,Aristocratic,0.0
82,Hultail,Cormyr,Wealthy,0.0
82,Hultail,Cormyr,Comfortable,6.0
82,Hultail,Cormyr,Modest,11.0
82,Hultail,Cormyr,Poor,32.0
82,Hultail,Cormyr,Squalid,21.0
82,Hultail,Cormyr,Wretched,0.0
83,Immersea,Cormyr,Aristocratic,0.0
83,Immersea,Cormyr,Wealthy,17.0
83,Immersea,Cormyr,Comfortable,88.0
83,Immersea,Cormyr,Modest,134.0
83,Immersea,Cormyr,Poor,350.0
83,Immersea,Cormyr,Squalid,296.0
83,Immersea,Cormyr,Wretched,49.0
84,Juniril,Cormyr,Aristocratic,0.0
84,Juniril,Cormyr,Wealthy,110.0
84,Juniril,Cormyr,Comfortable,707.0
84,Juniril,Cormyr,Modest,965.0
84,Juniril,Cormyr,Poor,3082.0
84,Juniril,Cormyr,Squalid,1946.0
84,Juniril,Cormyr,Wretched,327.0
85,Kallamarn,Cormyr,Aristocratic,0.0
85,Kallamarn,Cormyr,Wealthy,99.0
85,Kallamarn,Cormyr,Comfortable,541.0
85,Kallamarn,Cormyr,Modest,1225.0
85,Kallamarn,Cormyr,Poor,2159.0
85,Kallamarn,Cormyr,Squalid,1958.0
85,Kallamarn,Cormyr,Wretched,476.0
86,Kirinwood,Cormyr,Aristocratic,2.0
86,Kirinwood,Cormyr,Wealthy,82.0
86,Kirinwood,Cormyr,Comfortable,417.0
86,Kirinwood,Cormyr,Modest,1237.0
86,Kirinwood,Cormyr,Poor,1747.0
86,Kirinwood,Cormyr,Squalid,1073.0
86,Kirinwood,Cormyr,Wretched,345.0
87,Knightswood,Cormyr,Aristocratic,1.0
87,Knightswood,Cormyr,Wealthy,55.0
87,Knightswood,Cormyr,Comfortable,349.0
