settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,canon_status,source_confidence,hidden_economy,trade_balance,risk_index,geo_lat,geo_lon
Calimshan Settlement 0012,Calimshan,Memnon,956,4035805,121053,"{'humans': 720, 'elves': 110, 'dwarves': 87, 'halflings': 42, 'half-orcs': 38, 'misc.': 0}",42,war,['Merchant Council'],"{'poor': 0.614, 'middle': 0.2203, 'wealthy': 0.0975, 'aristocrat': 0.0682}",12,"[['cloth', 'salt', 'wine']]","[['jewelry', 'ore', 'parchment']]",Ruler CAL-994,professional guard,arcanum,Common,"Mystra, Tempus",169269,841078201,175.4,78.7,41.6,9,0,synthetic generator v2,synthetic,0.75,3467467,0,41.1,52.71576,72.84632
Sembia Settlement 0013,Sembia,Selgaunt,1744,4004598,23319,"{'humans': 1149, 'elves': 90, 'dwarves': 73, 'halflings': 37, 'half-orcs': 34, 'misc.': 361}",140,famine,['Merchant Council'],"{'poor': 0.5764, 'middle': 0.3379, 'wealthy': 0.0812, 'aristocrat': 0.0045}",19,"[['cloth', 'fish', 'timber', 'weapons']]","[['coal', 'glass', 'jewelry', 'mercenaries']]",Ruler SEM-865,small militia,local academy,"Draconic, Dwarvish, Elvish","Mystra, Torm",210662,818271539,399.61,57.2,64.7,9,0,synthetic generator v2,synthetic,0.37,5344373,0,46.7,-31.12242,47.71596
Amn Settlement 0014,Amn,Athkatla,1692,9541858,582599,"{'humans': 1283, 'elves': 157, 'dwarves': 62, 'halflings': 138, 'half-orcs': 36, 'misc.': 16}",36,monster attack,['Merchant Council'],"{'poor': 0.5001, 'middle': 0.3409, 'wealthy': 0.0398, 'aristocrat': 0.1192}",3,"[['gems', 'wine']]","[['coal', 'jewelry', 'mercenaries', 'ore', 'spices']]",Ruler AMN-886,small militia,arcanum,"Elvish, Halfling","Chauntea, Lathander, Torm",191831,772478497,431.23,62.9,85.7,3,0,synthetic generator v2,derived,0.57,8396671,-3,12.9,-37.3922,-106.94769
Waterdeep Settlement 0015,Waterdeep,Waterdeep,4656,25694003,440989,"{'humans': 3966, 'elves': 275, 'dwarves': 294, 'halflings': 375, 'half-orcs': 260, 'misc.': 0}",131,war,['Patriarchy'],"{'poor': 0.4769, 'middle': 0.3826, 'wealthy': 0.0237, 'aristocrat': 0.1168}",0,[['fish']],"[['parchment', 'spices']]",Ruler WAT-101,naval patrol,arcanum,"Dwarvish, Halfling, Orc","Chauntea, Torm",190388,767901516,192.3,52.1,59.6,10,0,synthetic generator v2,synthetic,0.7,20955816,-1,35.0,18.61949,-91.29237
Waterdeep Settlement 0016,Waterdeep,Waterdeep,6876,20789180,231221,"{'humans': 5494, 'elves': 183, 'dwarves': 340, 'halflings': 596, 'half-orcs': 411, 'misc.': 0}",97,monster attack,['Satrapy'],"{'poor': 0.5777, 'middle': 0.313, 'wealthy': 0.0802, 'aristocrat': 0.0291}",7,"[['books', 'horses']]","[['coal', 'jewelry', 'spices']]",Ruler WAT-479,naval patrol,None,"Dwarvish, Elvish, Orc","Mystra, Tempus, Tyr",190388,767901516,501.49,57.9,59.0,8,0,synthetic generator v2,derived,0.92,24839444,-1,33.6,10.90311,-3.64508
Calimshan Settlement 0017,Calimshan,Memnon,2977,15829770,62616,"{'humans': 2142, 'elves': 346, 'dwarves': 178, 'halflings': 114, 'half-orcs': 131, 'misc.': 66}",138,crime,['Democracy'],"{'poor': 0.4782, 'middle': 0.3894, 'wealthy': 0.0217, 'aristocrat': 0.1106}",9,"[['cloth', 'horses', 'salt']]","[['coal', 'magic items', 'ore']]",Ruler CAL-245,small militia,arcanum,"Draconic, Halfling, Orc",Selune,169269,841078201,312.3,76.8,17.9,8,0,synthetic generator v2,derived,0.88,19862195,0,35.2,19.41189,-33.32274
Calimshan Settlement 0018,Calimshan,Memnon,6489,14940640,419574,"{'humans': 5169, 'elves': 447, 'dwarves': 647, 'halflings': 415, 'half-orcs': 332, 'misc.': 0}",49,disease,['Merchant Council'],"{'poor': 0.5349, 'middle': 0.3951, 'wealthy': 0.0651, 'aristocrat': 0.005}",0,"[['cloth', 'timber', 'weapons']]","[['glass', 'jewelry']]",Ruler CAL-485,naval patrol,guilds,"Draconic, Orc","Selune, Torm",169269,841078201,151.69,71.9,49.3,0,0,synthetic generator v2,synthetic,0.57,11270864,1,0.0,-2.08409,-6.20751
Cormyr Settlement 0019,Cormyr,Suzail,7220,16790286,1243963,"{'humans': 6435, 'elves': 404, 'dwarves': 400, 'halflings': 653, 'half-orcs': 412, 'misc.': 0}",90,disease,['Satrapy'],"{'poor': 0.5844, 'middle': 0.3225, 'wealthy': 0.0887, 'aristocrat': 0.0045}",0,"[['armor', 'books', 'wine']]",[['mercenaries']],Ruler COR-207,naval patrol,local academy,"Common, Elvish","Tempus, Torm, Tyr",162084,631592082,462.46,65.8,55.9,2,0,synthetic generator v2,derived,0.93,20908762,2,7.0,40.01299,97.43828
Waterdeep Settlement 0020,Waterdeep,Waterdeep,2024,9600924,938732,"{'humans': 1363, 'elves': 111, 'dwarves': 83, 'halflings': 93, 'half-orcs': 45, 'misc.': 329}",91,arcane mishap,['Dictatorship'],"{'poor': 0.5773, 'middle': 0.2883, 'wealthy': 0.0394, 'aristocrat': 0.095}",3,"[['armor', 'weapons']]","[['coal', 'glass']]",Ruler WAT-181,naval patrol,local academy,Halfling,"Lathander, Tyr",190388,767901516,98.27,53.9,34.9,7,0,synthetic generator v2,synthetic,0.72,11785395,0,26.9,-3.8709,25.90546
Sembia Settlement 0021,Sembia,Selgaunt,1352,5442640,95302,"{'humans': 1076, 'elves': 62, 'dwarves': 61, 'halflings': 83, 'half-orcs': 43, 'misc.': 27}",166,famine,['Confederacy'],"{'poor': 0.5241, 'middle': 0.3748, 'wealthy': 0.0327, 'aristocrat': 0.0685}",14,"[['armor', 'grain', 'salt']]",[['glass']],Ruler SEM-300,mercenary heavy,None,"Dwarvish, Halfling",Tempus,210662,818271539,400.46,53.9,51.6,8,0,synthetic generator v2,derived,0.59,4207191,2,39.2,7.88534,-52.29364
Baldurs Gate Settlement 0022,Baldurs Gate,Baldur's Gate,1463,3020863,149083,"{'humans': 1150, 'elves': 88, 'dwarves': 55, 'halflings': 59, 'half-orcs': 58, 'misc.': 53}",51,war,['Confederacy'],"{'poor': 0.6004, 'middle': 0.3431, 'wealthy': 0.0519, 'aristocrat': 0.0046}",0,[['grain']],"[['coal', 'glass', 'jewelry', 'magic items', 'ore']]",Ruler BAL-595,small militia,local academy,"Halfling, Orc","Tempus, Torm",261869,1312711673,357.92,61.9,44.0,2,0,synthetic generator v2,derived,0.9,2592297,-4,7.0,-4.4543,40.14018
Tethyr Settlement 0023,Tethyr,Darromar,3044,6671248,358835,"{'humans': 2381, 'elves': 193, 'dwarves': 98, 'halflings': 299, 'half-orcs': 41, 'misc.': 32}",79,crime,['Merchant Council'],"{'poor': 0.6703, 'middle': 0.2291, 'wealthy': 0.0956, 'aristocrat': 0.0049}",19,"[['armor', 'horses', 'weapons', 'wine']]","[['coal', 'jewelry', 'spices']]",Ruler TET-652,small militia,arcanum,Dwarvish,"Chauntea, Lathander, Tyr",306344,1288038783,533.6,74.3,56.4,3,0,synthetic generator v2,synthetic,0.9,8253610,1,25.7,54.03108,-54.04545
Calimshan Settlement 0024,Calimshan,Memnon,742,4268280,208069,"{'humans': 580, 'elves': 14, 'dwarves': 67, 'halflings': 28, 'half-orcs': 14, 'misc.': 39}",179,old age,['Satrapy'],"{'poor': 0.5614, 'middle': 0.2279, 'wealthy': 0.0946, 'aristocrat': 0.1161}",15,"[['books', 'fish', 'gems', 'timber']]","[['coal', 'glass']]",Ruler CAL-800,small militia,None,"Common, Draconic",Selune,169269,841078201,127.11,74.0,46.8,7,0,synthetic generator v2,synthetic,0.7,3400184,2,36.5,-12.41449,-15.26363
Amn Settlement 0025,Amn,Athkatla,796,1657356,38876,"{'humans': 695, 'elves': 26, 'dwarves': 38, 'halflings': 43, 'half-orcs': 30, 'misc.': 0}",115,monster attack,['Magocracy'],"{'poor': 0.654, 'middle': 0.2688, 'wealthy': 0.0722, 'aristocrat': 0.0049}",14,"[['books', 'cloth', 'salt', 'timber', 'weapons']]","[['glass', 'mercenaries', 'ore', 'parchment', 'spices']]",Ruler AMN-150,naval patrol,local academy,"Common, Draconic, Halfling","Lathander, Tempus",191831,772478497,44.1,68.1,65.8,0,0,synthetic generator v2,synthetic,0.85,2095981,0,11.2,39.58711,-40.53326
Waterdeep Settlement 0026,Waterdeep,Waterdeep,885,5065839,94618,"{'humans': 727, 'elves': 62, 'dwarves': 52, 'halflings': 39, 'half-orcs': 31, 'misc.': 0}",173,war,['Monarchy'],"{'poor': 0.513, 'middle': 0.327, 'wealthy': 0.0363, 'aristocrat': 0.1237}",10,"[['cloth', 'fish', 'gems', 'horses', 'salt']]","[['jewelry', 'mercenaries']]",Ruler WAT-232,professional guard,guilds,"Draconic, Orc",Mystra,190388,767901516,14.91,45.3,52.9,10,0,synthetic generator v2,derived,0.59,5508222,3,43.0,52.7138,-69.40221
Sembia Settlement 0027,Sembia,Selgaunt,3009,13177992,916363,"{'humans': 2020, 'elves': 261, 'dwarves': 95, 'halflings': 186, 'half-orcs': 34, 'misc.': 413}",91,old age,['Satrapy'],"{'poor': 0.5194, 'middle': 0.3678, 'wealthy': 0.0327, 'aristocrat': 0.08}",0,"[['books', 'horses', 'salt']]","[['glass', 'parchment', 'silk', 'spices']]",Ruler SEM-387,professional guard,arcanum,"Common, Draconic, Orc","Chauntea, Torm",210662,818271539,434.0,47.5,57.3,3,0,synthetic generator v2,derived,0.54,12756829,-1,10.5,-5.53281,-73.15015
Waterdeep Settlement 0028,Waterdeep,Waterdeep,707,3472413,164451,"{'humans': 608, 'elves': 75, 'dwarves': 58, 'halflings': 62, 'half-orcs': 15, 'misc.': 0}",29,disease,['Dictatorship'],"{'poor': 0.5974, 'middle': 0.2696, 'wealthy': 0.0287, 'aristocrat': 0.1043}",4,"[['armor', 'cloth', 'salt']]","[['ore', 'parchment']]",Ruler WAT-636,mercenary heavy,arcanum,"Common, Elvish, Orc",Mystra,190388,767901516,388.13,46.7,42.2,0,0,synthetic generator v2,synthetic,0.8,2765500,1,3.2,14.54183,7.53257
Waterdeep Settlement 0029,Waterdeep,Waterdeep,1386,9793828,593863,"{'humans': 1023, 'elves': 132, 'dwarves': 134, 'halflings': 90, 'half-orcs': 36, 'misc.': 0}",31,arcane mishap,['Dictatorship'],"{'poor': 0.488, 'middle': 0.2642, 'wealthy': 0.0928, 'aristocrat': 0.155}",3,"[['armor', 'weapons']]","[['coal', 'glass', 'magic items', 'mercenaries', 'parchment']]",Ruler WAT-614,naval patrol,None,"Halfling, Orc","Chauntea, Selune, Tyr",190388,767901516,503.53,45.5,59.7,10,0,synthetic generator v2,derived,0.69,8579144,-3,37.4,-10.9678,129.0265
Amn Settlement 0030,Amn,Athkatla,1779,7295148,129486,"{'humans': 1546, 'elves': 76, 'dwarves': 98, 'halflings': 124, 'half-orcs': 48, 'misc.': 0}",100,old age,['Magocracy'],"{'poor': 0.5575, 'middle': 0.3361, 'wealthy': 0.033, 'aristocrat': 0.0734}",0,"[['armor', 'cloth', 'gems', 'timber', 'wine']]","[['ore', 'silk']]",Ruler AMN-401,mercenary heavy,arcanum,Dwarvish,Lathander,191831,772478497,492.96,68.5,64.2,7,0,synthetic generator v2,synthetic,0.85,8944086,3,24.5,56.35068,-18.34869
Waterdeep Settlement 0031,Waterdeep,Waterdeep,17865,129732432,9365957,"{'humans': 13197, 'elves': 394, 'dwarves': 736, 'halflings': 475, 'half-orcs': 868, 'misc.': 2195}",49,crime,['Patriarchy'],"{'poor': 0.5601, 'middle': 0.2214, 'wealthy': 0.0408, 'aristocrat': 0.1776}",10,"[['fish', 'grain', 'salt']]","[['coal', 'jewelry', 'mercenaries']]",Ruler WAT-899,mercenary heavy,arcanum,Draconic,"Selune, Torm",190388,767901516,129.94,44.4,53.6,7,0,synthetic generator v2,synthetic,0.72,142267762,0,32.5,5.40181,-112.75606
Tethyr Settlement 0032,Tethyr,Darromar,1251,6483476,477231,"{'humans': 998, 'elves': 120, 'dwarves': 107, 'halflings': 109, 'half-orcs': 55, 'misc.': 0}",73,monster attack,['Merchant Council'],"{'poor': 0.6517, 'middle': 0.2052, 'wealthy': 0.025, 'aristocrat': 0.1181}",0,"[['books', 'fish', 'timber']]",[['glass']],Ruler TET-678,professional guard,guilds,Elvish,"Mystra, Selune",306344,1288038783,541.81,65.0,57.3,10,0,synthetic generator v2,synthetic,0.91,6364800,2,35.0,63.08831,-39.76875
Amn Settlement 0033,Amn,Athkatla,307,1533595,48132,"{'humans': 251, 'elves': 11, 'dwarves': 17, 'halflings': 10, 'half-orcs': 10, 'misc.': 8}",51,arcane mishap,['Merchant Council'],"{'poor': 0.5004, 'middle': 0.3561, 'wealthy': 0.0475, 'aristocrat': 0.0961}",0,"[['gems', 'horses', 'weapons', 'wine']]",[['magic items']],Ruler AMN-952,naval patrol,arcanum,Elvish,"Mystra, Tempus",191831,772478497,515.79,63.1,87.2,0,0,synthetic generator v2,derived,0.46,2075638,3,0.0,-9.52302,-57.13952
Sembia Settlement 0034,Sembia,Selgaunt,1380,3273697,352201,"{'humans': 1040, 'elves': 105, 'dwarves': 63, 'halflings': 72, 'half-orcs': 78, 'misc.': 22}",63,disease,['Magocracy'],"{'poor': 0.6151, 'middle': 0.3142, 'wealthy': 0.0555, 'aristocrat': 0.0152}",1,"[['armor', 'fish', 'horses', 'wine']]","[['glass', 'mercenaries', 'ore']]",Ruler SEM-511,naval patrol,guilds,"Common, Halfling","Chauntea, Mystra, Tempus",210662,818271539,300.26,56.1,52.8,3,2,synthetic generator v2,derived,0.65,4546594,1,13.1,47.22729,87.84134
Neverwinter Settlement 0035,Neverwinter,Neverwinter,665,1457927,131674,"{'humans': 571, 'elves': 22, 'dwarves': 55, 'halflings': 37, 'half-orcs': 19, 'misc.': 0}",156,old age,['Merchant Council'],"{'poor': 0.6044, 'middle': 0.3169, 'wealthy': 0.0743, 'aristocrat': 0.0045}",2,"[['cloth', 'salt']]",[['parchment']],Ruler NEV-121,professional guard,guilds,"Elvish, Orc","Chauntea, Lathander, Torm",172720,723835434,454.17,43.1,50.9,1,0,synthetic generator v2,synthetic,0.79,1870029,1,5.1,44.28424,-46.45255
Waterdeep Settlement 0036,Waterdeep,Waterdeep,1624,3591769,204286,"{'humans': 1140, 'elves': 62, 'dwarves': 117, 'halflings': 157, 'half-orcs': 30, 'misc.': 118}",39,monster attack,['Patriarchy'],"{'poor': 0.5759, 'middle': 0.3532, 'wealthy': 0.066, 'aristocrat': 0.0048}",0,[['gems']],"[['magic items', 'mercenaries', 'ore', 'silk']]",Ruler WAT-648,naval patrol,local academy,Common,"Mystra, Selune",190388,767901516,481.64,51.1,53.3,8,0,synthetic generator v2,synthetic,0.85,2865240,-3,28.0,16.53007,122.47636
Tethyr Settlement 0037,Tethyr,Darromar,121,312679,16410,"{'humans': 106, 'elves': 7, 'dwarves': 6, 'halflings': 11, 'half-orcs': 5, 'misc.': 0}",143,crime,['Satrapy'],"{'poor': 0.6001, 'middle': 0.3512, 'wealthy': 0.0202, 'aristocrat': 0.0285}",0,"[['armor', 'cloth', 'grain', 'weapons']]","[['coal', 'jewelry', 'mercenaries']]",Ruler TET-481,naval patrol,guilds,"Elvish, Orc",Lathander,306344,1288038783,531.08,65.4,68.1,7,0,synthetic generator v2,derived,0.66,330104,1,24.5,-17.75717,114.47413
Calimshan Settlement 0038,Calimshan,Memnon,943,2148774,137692,"{'humans': 626, 'elves': 45, 'dwarves': 80, 'halflings': 89, 'half-orcs': 17, 'misc.': 86}",62,old age,['Theocracy'],"{'poor': 0.5454, 'middle': 0.3842, 'wealthy': 0.0655, 'aristocrat': 0.0049}",1,"[['fish', 'grain', 'salt', 'timber']]","[['glass', 'jewelry', 'magic items', 'mercenaries', 'silk']]",Ruler CAL-166,naval patrol,arcanum,"Draconic, Orc","Lathander, Tempus, Torm",169269,841078201,54.97,81.9,49.5,10,0,synthetic generator v2,derived,0.54,2417025,-1,35.8,-6.46874,-62.43472
Tethyr Settlement 0039,Tethyr,Darromar,1398,4270857,338223,"{'humans': 1170, 'elves': 103, 'dwarves': 88, 'halflings': 107, 'half-orcs': 81, 'misc.': 0}",149,monster attack,['Monarchy'],"{'poor': 0.6415, 'middle': 0.2401, 'wealthy': 0.0846, 'aristocrat': 0.0339}",0,"[['horses', 'weapons']]",[['ore']],Ruler TET-571,small militia,arcanum,Orc,"Torm, Tyr",306344,1288038783,39.99,67.3,79.2,0,0,synthetic generator v2,synthetic,0.56,5277889,1,0.0,13.21506,-8.62831
Waterdeep Settlement 0040,Waterdeep,Waterdeep,547,4449571,334796,"{'humans': 364, 'elves': 51, 'dwarves': 22, 'halflings': 49, 'half-orcs': 7, 'misc.': 54}",97,famine,['Satrapy'],"{'poor': 0.5442, 'middle': 0.2003, 'wealthy': 0.0523, 'aristocrat': 0.2032}",9,"[['books', 'cloth', 'gems', 'horses']]",[['parchment']],Ruler WAT-74,naval patrol,local academy,"Dwarvish, Elvish, Halfling","Chauntea, Mystra, Selune",190388,767901516,499.3,47.3,53.2,2,0,synthetic generator v2,synthetic,0.4,4472439,3,14.2,-23.66112,-7.85868
Amn Settlement 0041,Amn,Athkatla,726,1671185,48232,"{'humans': 500, 'elves': 34, 'dwarves': 69, 'halflings': 42, 'half-orcs': 24, 'misc.': 57}",27,war,['Democracy'],"{'poor': 0.6076, 'middle': 0.2963, 'wealthy': 0.0912, 'aristocrat': 0.0049}",0,"[['armor', 'books', 'grain', 'timber']]","[['coal', 'mercenaries', 'ore', 'silk']]",Ruler AMN-697,small militia,guilds,"Dwarvish, Halfling, Orc","Lathander, Mystra, Tyr",191831,772478497,433.17,67.3,74.3,2,0,synthetic generator v2,derived,0.59,1731739,0,7.0,12.82447,87.58403
Tethyr Settlement 0042,Tethyr,Darromar,427,2297910,230176,"{'humans': 279, 'elves': 12, 'dwarves': 20, 'halflings': 8, 'half-orcs': 11, 'misc.': 97}",84,old age,['Democracy'],"{'poor': 0.5472, 'middle': 0.2675, 'wealthy': 0.0795, 'aristocrat': 0.1058}",17,"[['gems', 'salt', 'timber', 'weapons', 'wine']]","[['glass', 'ore', 'parchment', 'silk']]",Ruler TET-932,naval patrol,arcanum,"Dwarvish, Halfling","Chauntea, Mystra, Selune",306344,1288038783,442.84,65.4,65.4,9,0,synthetic generator v2,derived,0.52,3067501,1,45.1,-18.6039,-6.60103
Sembia Settlement 0043,Sembia,Selgaunt,663,7028478,612908,"{'humans': 548, 'elves': 27, 'dwarves': 45, 'halflings': 42, 'half-orcs': 38, 'misc.': 0}",25,old age,['Monarchy'],"{'poor': 0.476, 'middle': 0.2128, 'wealthy': 0.0249, 'aristocrat': 0.2863}",19,"[['armor', 'timber', 'weapons']]","[['magic items', 'mercenaries', 'parchment', 'spices']]",Ruler SEM-916,mercenary heavy,guilds,"Draconic, Elvish",Torm,210662,818271539,389.32,48.9,29.5,6,1,synthetic generator v2,synthetic,0.84,8895121,-1,37.1,38.99263,-1.51272
Sembia Settlement 0044,Sembia,Selgaunt,4152,9253066,349189,"{'humans': 3048, 'elves': 397, 'dwarves': 164, 'halflings': 101, 'half-orcs': 79, 'misc.': 363}",87,famine,['Theocracy'],"{'poor': 0.6095, 'middle': 0.3044, 'wealthy': 0.0815, 'aristocrat': 0.0046}",13,"[['cloth', 'horses', 'salt', 'weapons']]","[['jewelry', 'silk']]",Ruler SEM-895,professional guard,guilds,Orc,"Chauntea, Mystra",210662,818271539,382.32,54.2,35.6,3,0,synthetic generator v2,derived,0.91,8246957,2,20.9,-27.28389,56.20142
Calimshan Settlement 0045,Calimshan,Memnon,4590,8118411,815563,"{'humans': 3627, 'elves': 106, 'dwarves': 142, 'halflings': 279, 'half-orcs': 86, 'misc.': 350}",154,crime,['Monarchy'],"{'poor': 0.689, 'middle': 0.2721, 'wealthy': 0.034, 'aristocrat': 0.0049}",0,"[['books', 'fish', 'gems', 'salt', 'weapons']]","[['glass', 'mercenaries', 'parchment']]",Ruler CAL-331,naval patrol,arcanum,"Common, Halfling, Orc","Lathander, Mystra, Torm",169269,841078201,280.5,72.3,28.4,5,0,synthetic generator v2,synthetic,0.9,10901516,2,17.5,33.6786,-115.06368
