settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,canon_status,source_confidence,hidden_economy,trade_balance,risk_index,geo_lat,geo_lon
Neverwinter Settlement 0011,Neverwinter,Neverwinter,6304,50579589,985985,"{""humans"": 4657, ""elves"": 654, ""dwarves"": 528, ""halflings"": 215, ""half-orcs"": 248, ""misc."": 2}",136,monster attack,"[""Magocracy""]","{""poor"": 0.4925, ""middle"": 0.2524, ""wealthy"": 0.0711, ""aristocrat"": 0.184}",15,"[[""cloth"", ""timber""]]","[[""glass"", ""mercenaries"", ""ore"", ""spices""]]",Ruler NEV-238,naval patrol,local academy,Dwarvish,Tempus,41958,200003469,118.25,52.3,43.0,2,0,synthetic generator v3,derived,0.62,61792821,-2,19.0,55.5406,-49.25117
Sembia Settlement 0012,Sembia,Selgaunt,529,1928777,174129,"{""humans"": 387, ""elves"": 61, ""dwarves"": 23, ""halflings"": 40, ""half-orcs"": 15, ""misc."": 3}",137,disease,"[""Merchant Council""]","{""poor"": 0.5901, ""middle"": 0.3179, ""wealthy"": 0.034, ""aristocrat"": 0.058}",20,"[[""books"", ""gems"", ""wine""]]","[[""jewelry"", ""magic items"", ""silk""]]",Ruler SEM-9,naval patrol,guilds,"Dwarvish, Halfling","Lathander, Mystra, Selune",115850,569433233,70.76,55.6,47.7,8,0,synthetic generator v3,synthetic,0.63,2552146,0,44.0,29.82623,51.67137
Amn Settlement 0013,Amn,Athkatla,3914,21352576,368947,"{""humans"": 3089, ""elves"": 280, ""dwarves"": 202, ""halflings"": 116, ""half-orcs"": 225, ""misc."": 2}",83,war,"[""Satrapy""]","{""poor"": 0.5839, ""middle"": 0.2359, ""wealthy"": 0.0912, ""aristocrat"": 0.089}",18,"[[""fish"", ""gems"", ""horses""]]","[[""coal""]]",Ruler AMN-890,mercenary heavy,local academy,Common,Tyr,135123,611983508,357.44,68.8,70.5,9,0,synthetic generator v3,derived,0.73,25531116,2,45.9,23.04676,-16.0803
Calimshan Settlement 0014,Calimshan,Memnon,478,4328596,172920,"{""humans"": 378, ""elves"": 23, ""dwarves"": 25, ""halflings"": 19, ""half-orcs"": 30, ""misc."": 3}",149,crime,"[""Theocracy""]","{""poor"": 0.4634, ""middle"": 0.3033, ""wealthy"": 0.0212, ""aristocrat"": 0.2121}",0,"[[""books"", ""cloth"", ""fish"", ""gems"", ""salt""]]","[[""ore"", ""parchment""]]",Ruler CAL-522,mercenary heavy,local academy,"Common, Orc","Mystra, Selune, Tempus",104596,622107818,534.16,85.3,14.4,8,0,synthetic generator v3,derived,0.84,5811989,3,28.0,5.60212,-63.89726
Neverwinter Settlement 0015,Neverwinter,Neverwinter,1050,2175966,84324,"{""humans"": 727, ""elves"": 85, ""dwarves"": 77, ""halflings"": 99, ""half-orcs"": 60, ""misc."": 2}",83,crime,"[""Dictatorship""]","{""poor"": 0.6096, ""middle"": 0.3537, ""wealthy"": 0.0283, ""aristocrat"": 0.0084}",14,"[[""cloth"", ""fish"", ""grain"", ""horses"", ""timber""]]","[[""coal"", ""glass"", ""mercenaries""]]",Ruler NEV-296,professional guard,None,"Common, Dwarvish",Mystra,41958,200003469,132.11,44.0,53.6,8,0,synthetic generator v3,derived,0.63,2065538,2,39.2,42.78705,-40.62354
Calimshan Settlement 0016,Calimshan,Memnon,12261,53556194,3161305,"{""humans"": 10086, ""elves"": 576, ""dwarves"": 869, ""halflings"": 420, ""half-orcs"": 307, ""misc."": 3}",83,monster attack,"[""Theocracy""]","{""poor"": 0.4947, ""middle"": 0.3766, ""wealthy"": 0.0693, ""aristocrat"": 0.0594}",14,"[[""fish"", ""salt"", ""timber""]]","[[""glass"", ""ore"", ""silk""]]",Ruler CAL-302,naval patrol,guilds,"Draconic, Elvish, Orc","Mystra, Tempus, Torm",104596,622107818,462.49,83.5,49.6,5,0,synthetic generator v3,derived,0.66,57586395,0,28.7,6.48977,-49.82736
Waterdeep Settlement 0017,Waterdeep,Waterdeep,2453,14999687,997116,"{""humans"": 1922, ""elves"": 156, ""dwarves"": 148, ""halflings"": 172, ""half-orcs"": 52, ""misc."": 3}",98,monster attack,"[""Dictatorship""]","{""poor"": 0.5131, ""middle"": 0.3217, ""wealthy"": 0.06, ""aristocrat"": 0.1052}",0,"[[""salt""]]","[[""coal"", ""jewelry"", ""spices""]]",Ruler WAT-407,mercenary heavy,guilds,"Elvish, Halfling, Orc",Chauntea,111501,517924535,137.43,47.4,43.0,3,0,synthetic generator v3,derived,0.66,14476562,-2,10.5,29.23344,-4.27929
Waterdeep Settlement 0018,Waterdeep,Waterdeep,2265,5463961,193640,"{""humans"": 1742, ""elves"": 134, ""dwarves"": 125, ""halflings"": 203, ""half-orcs"": 59, ""misc."": 2}",88,old age,"[""Satrapy""]","{""poor"": 0.6423, ""middle"": 0.2815, ""wealthy"": 0.0715, ""aristocrat"": 0.0047}",3,"[[""armor"", ""gems"", ""weapons""]]","[[""parchment""]]",Ruler WAT-228,naval patrol,None,"Dwarvish, Halfling, Orc",Tempus,111501,517924535,88.15,53.5,51.8,8,0,synthetic generator v3,synthetic,0.45,5041709,2,30.4,33.76338,-17.67343
Tethyr Settlement 0019,Tethyr,Darromar,715,4559911,113139,"{""humans"": 548, ""elves"": 62, ""dwarves"": 44, ""halflings"": 46, ""half-orcs"": 13, ""misc."": 2}",79,old age,"[""Merchant Council""]","{""poor"": 0.5195, ""middle"": 0.3062, ""wealthy"": 0.0262, ""aristocrat"": 0.1481}",0,"[[""books""]]","[[""jewelry"", ""mercenaries""]]",Ruler TET-378,mercenary heavy,arcanum,"Draconic, Dwarvish, Elvish","Chauntea, Torm",94697,355319062,315.83,72.5,46.0,5,0,synthetic generator v3,derived,0.85,4302842,-1,17.5,8.17828,-18.88638
Cormyr Settlement 0020,Cormyr,Suzail,259,1288486,51044,"{""humans"": 192, ""elves"": 19, ""dwarves"": 15, ""halflings"": 22, ""half-orcs"": 9, ""misc."": 2}",49,arcane mishap,"[""Patriarchy""]","{""poor"": 0.5977, ""middle"": 0.2746, ""wealthy"": 0.0293, ""aristocrat"": 0.0984}",0,"[[""cloth""]]","[[""glass""]]",Ruler COR-567,naval patrol,arcanum,"Dwarvish, Elvish, Orc",Lathander,128212,529868877,116.66,63.9,58.5,2,0,synthetic generator v3,synthetic,0.36,1683610,0,7.0,20.0265,16.99441
Sembia Settlement 0021,Sembia,Selgaunt,257,535460,15293,"{""humans"": 179, ""elves"": 28, ""dwarves"": 16, ""halflings"": 19, ""half-orcs"": 13, ""misc."": 2}",172,arcane mishap,"[""Theocracy""]","{""poor"": 0.617, ""middle"": 0.3246, ""wealthy"": 0.0537, ""aristocrat"": 0.0047}",0,"[[""books"", ""cloth"", ""timber"", ""wine""]]","[[""magic items"", ""ore"", ""parchment"", ""spices""]]",Ruler SEM-184,naval patrol,guilds,Draconic,Mystra,115850,569433233,478.75,52.2,61.9,4,0,synthetic generator v3,derived,0.79,604329,0,14.0,27.90854,38.35874
Amn Settlement 0022,Amn,Athkatla,237,549099,40045,"{""humans"": 190, ""elves"": 13, ""dwarves"": 10, ""halflings"": 6, ""half-orcs"": 15, ""misc."": 3}",81,arcane mishap,"[""Monarchy""]","{""poor"": 0.5724, ""middle"": 0.3819, ""wealthy"": 0.0407, ""aristocrat"": 0.005}",9,"[[""cloth""]]","[[""coal"", ""jewelry"", ""ore"", ""parchment"", ""spices""]]",Ruler AMN-522,professional guard,None,"Dwarvish, Orc","Lathander, Torm",135123,611983508,431.84,61.9,87.3,7,0,synthetic generator v3,synthetic,0.35,674492,-4,31.7,13.50721,-32.60622
Baldurs Gate Settlement 0023,Baldurs Gate,Baldur's Gate,1455,7815827,412960,"{""humans"": 1185, ""elves"": 87, ""dwarves"": 77, ""halflings"": 60, ""half-orcs"": 44, ""misc."": 2}",131,monster attack,"[""Theocracy""]","{""poor"": 0.5513, ""middle"": 0.2957, ""wealthy"": 0.0536, ""aristocrat"": 0.0994}",0,"[[""books"", ""cloth""]]","[[""jewelry""]]",Ruler BAL-476,mercenary heavy,None,Halfling,Tempus,88949,460120908,513.81,57.0,49.8,5,7,synthetic generator v3,synthetic,0.52,6491692,1,23.8,25.11801,-16.14567
Waterdeep Settlement 0024,Waterdeep,Waterdeep,933,2283732,27489,"{""humans"": 680, ""elves"": 63, ""dwarves"": 49, ""halflings"": 96, ""half-orcs"": 43, ""misc."": 2}",108,arcane mishap,"[""Confederacy""]","{""poor"": 0.6164, ""middle"": 0.3112, ""wealthy"": 0.0678, ""aristocrat"": 0.0046}",0,"[[""books"", ""fish"", ""grain"", ""horses"", ""wine""]]","[[""glass"", ""silk""]]",Ruler WAT-624,naval patrol,local academy,Dwarvish,"Chauntea, Lathander, Tempus",111501,517924535,310.11,58.2,58.5,3,0,synthetic generator v3,synthetic,0.5,2201013,3,10.5,48.84928,-26.55838
Baldurs Gate Settlement 0025,Baldurs Gate,Baldur's Gate,2253,4611603,78547,"{""humans"": 1689, ""elves"": 155, ""dwarves"": 168, ""halflings"": 189, ""half-orcs"": 49, ""misc."": 3}",63,monster attack,"[""Patriarchy""]","{""poor"": 0.6942, ""middle"": 0.2422, ""wealthy"": 0.0586, ""aristocrat"": 0.005}",12,"[[""cloth"", ""gems"", ""weapons""]]","[[""parchment""]]",Ruler BAL-405,professional guard,guilds,"Common, Halfling, Orc","Mystra, Tempus, Tyr",88949,460120908,74.07,63.8,44.1,3,0,synthetic generator v3,synthetic,0.67,5994362,2,20.1,30.27732,-21.18145
Sembia Settlement 0026,Sembia,Selgaunt,509,1126354,2179,"{""humans"": 369, ""elves"": 40, ""dwarves"": 42, ""halflings"": 34, ""half-orcs"": 21, ""misc."": 3}",67,crime,"[""Confederacy""]","{""poor"": 0.6232, ""middle"": 0.2973, ""wealthy"": 0.0744, ""aristocrat"": 0.0051}",10,"[[""armor"", ""gems"", ""horses"", ""timber"", ""wine""]]","[[""coal"", ""glass"", ""jewelry"", ""magic items""]]",Ruler SEM-483,naval patrol,None,"Common, Halfling","Selune, Tyr",115850,569433233,543.12,60.2,60.8,10,1,synthetic generator v3,synthetic,0.63,1163343,1,43.9,39.45423,47.36424
Waterdeep Settlement 0027,Waterdeep,Waterdeep,8013,53242847,1550673,"{""humans"": 6150, ""elves"": 536, ""dwarves"": 610, ""halflings"": 415, ""half-orcs"": 300, ""misc."": 2}",109,disease,"[""Democracy""]","{""poor"": 0.4557, ""middle"": 0.3538, ""wealthy"": 0.0778, ""aristocrat"": 0.1127}",0,"[[""cloth""]]","[[""silk""]]",Ruler WAT-759,mercenary heavy,guilds,Halfling,"Selune, Tempus, Torm",111501,517924535,532.02,51.2,33.4,0,0,synthetic generator v3,derived,0.72,51272200,0,0.0,47.45404,-6.40426
Amn Settlement 0028,Amn,Athkatla,360,813103,18121,"{""humans"": 265, ""elves"": 14, ""dwarves"": 31, ""halflings"": 30, ""half-orcs"": 18, ""misc."": 2}",140,famine,"[""Patriarchy""]","{""poor"": 0.5921, ""middle"": 0.3621, ""wealthy"": 0.0412, ""aristocrat"": 0.0046}",0,"[[""books"", ""salt""]]","[[""glass"", ""jewelry"", ""mercenaries"", ""spices""]]",Ruler AMN-30,naval patrol,None,Elvish,Chauntea,135123,611983508,137.27,67.7,68.0,2,0,synthetic generator v3,synthetic,0.62,792425,-2,7.0,23.99688,-13.08221
Cormyr Settlement 0029,Cormyr,Suzail,827,7227993,53665,"{""humans"": 664, ""elves"": 63, ""dwarves"": 34, ""halflings"": 35, ""half-orcs"": 28, ""misc."": 3}",77,crime,"[""Satrapy""]","{""poor"": 0.4858, ""middle"": 0.2358, ""wealthy"": 0.0786, ""aristocrat"": 0.1998}",0,"[[""armor"", ""horses"", ""wine""]]","[[""glass"", ""magic items"", ""mercenaries"", ""parchment"", ""silk""]]",Ruler COR-343,mercenary heavy,None,"Common, Draconic","Lathander, Tempus, Torm",128212,529868877,59.87,63.4,69.6,2,0,synthetic generator v3,derived,0.7,7870357,-2,7.0,28.51199,18.30423
Waterdeep Settlement 0030,Waterdeep,Waterdeep,46917,205981260,3677320,"{""humans"": 37885, ""elves"": 2860, ""dwarves"": 2200, ""halflings"": 3252, ""half-orcs"": 718, ""misc."": 2}",149,disease,"[""Confederacy""]","{""poor"": 0.5116, ""middle"": 0.3834, ""wealthy"": 0.0474, ""aristocrat"": 0.0576}",0,"[[""armor"", ""cloth"", ""fish"", ""salt""]]","[[""jewelry"", ""magic items"", ""parchment""]]",Ruler WAT-111,small militia,None,"Halfling, Orc","Lathander, Selune",111501,517924535,21.31,58.3,44.6,9,0,synthetic generator v3,derived,0.75,216289356,1,31.5,38.12959,-14.63755
Waterdeep Settlement 0031,Waterdeep,Waterdeep,207,2544114,212418,"{""humans"": 157, ""elves"": 12, ""dwarves"": 13, ""halflings"": 12, ""half-orcs"": 10, ""misc."": 3}",121,disease,"[""Democracy""]","{""poor"": 0.4557, ""middle"": 0.2233, ""wealthy"": 0.0355, ""aristocrat"": 0.2855}",5,"[[""armor""]]","[[""mercenaries"", ""ore"", ""spices""]]",Ruler WAT-708,mercenary heavy,guilds,"Draconic, Halfling","Tempus, Torm",111501,517924535,493.62,44.9,57.4,0,0,synthetic generator v3,synthetic,0.48,3283985,-2,4.0,34.7935,-23.22972
Calimshan Settlement 0032,Calimshan,Memnon,179,797404,32797,"{""humans"": 134, ""elves"": 23, ""dwarves"": 13, ""halflings"": 4, ""half-orcs"": 3, ""misc."": 2}",112,war,"[""Satrapy""]","{""poor"": 0.6383, ""middle"": 0.2359, ""wealthy"": 0.049, ""aristocrat"": 0.0768}",13,"[[""gems"", ""horses"", ""salt""]]","[[""coal"", ""glass"", ""magic items"", ""ore"", ""parchment""]]",Ruler CAL-844,naval patrol,arcanum,"Draconic, Halfling",Tempus,104596,622107818,527.17,74.3,39.3,3,0,synthetic generator v3,synthetic,0.4,718492,-2,20.9,6.79603,-44.18995
Sembia Settlement 0033,Sembia,Selgaunt,2087,7850319,510879,"{""humans"": 1604, ""elves"": 199, ""dwarves"": 62, ""halflings"": 150, ""half-orcs"": 68, ""misc."": 4}",121,old age,"[""Merchant Council""]","{""poor"": 0.6463, ""middle"": 0.2523, ""wealthy"": 0.0359, ""aristocrat"": 0.0655}",0,"[[""gems"", ""grain"", ""wine""]]","[[""glass""]]",Ruler SEM-682,naval patrol,local academy,"Common, Elvish",Selune,115850,569433233,207.52,49.2,47.9,0,0,synthetic generator v3,derived,0.67,10442192,2,0.0,28.57891,31.52076
Neverwinter Settlement 0034,Neverwinter,Neverwinter,761,3959681,20163,"{""humans"": 644, ""elves"": 20, ""dwarves"": 51, ""halflings"": 19, ""half-orcs"": 23, ""misc."": 4}",40,disease,"[""Satrapy""]","{""poor"": 0.5267, ""middle"": 0.3113, ""wealthy"": 0.0659, ""aristocrat"": 0.0961}",0,"[[""books"", ""fish"", ""grain"", ""horses"", ""salt""]]","[[""magic items""]]",Ruler NEV-93,mercenary heavy,None,"Draconic, Dwarvish, Halfling",Tyr,41958,200003469,541.72,40.0,42.4,5,0,synthetic generator v3,synthetic,0.47,4960915,4,17.5,40.91096,-50.52786
Calimshan Settlement 0035,Calimshan,Memnon,2164,18866965,830797,"{""humans"": 1641, ""elves"": 115, ""dwarves"": 150, ""halflings"": 144, ""half-orcs"": 111, ""misc."": 3}",79,disease,"[""Satrapy""]","{""poor"": 0.5374, ""middle"": 0.2271, ""wealthy"": 0.0303, ""aristocrat"": 0.2052}",0,"[[""weapons""]]","[[""glass"", ""magic items"", ""mercenaries"", ""spices""]]",Ruler CAL-824,small militia,local academy,"Common, Dwarvish",Tempus,104596,622107818,527.5,84.4,22.6,1,0,synthetic generator v3,synthetic,0.45,18778843,-3,3.5,11.04236,-53.9439
Amn Settlement 0036,Amn,Athkatla,311,725989,49892,"{""humans"": 230, ""elves"": 27, ""dwarves"": 16, ""halflings"": 23, ""half-orcs"": 11, ""misc."": 4}",170,war,"[""Monarchy""]","{""poor"": 0.5827, ""middle"": 0.3643, ""wealthy"": 0.0483, ""aristocrat"": 0.0047}",0,"[[""armor"", ""cloth"", ""grain""]]","[[""coal"", ""mercenaries"", ""parchment"", ""spices""]]",Ruler AMN-634,mercenary heavy,local academy,Dwarvish,"Lathander, Tyr",135123,611983508,91.99,72.0,59.4,6,0,synthetic generator v3,derived,0.79,783858,-1,21.0,18.20464,-38.20751
Baldurs Gate Settlement 0037,Baldurs Gate,Baldur's Gate,3235,14746619,243308,"{""humans"": 2243, ""elves"": 395, ""dwarves"": 177, ""halflings"": 288, ""half-orcs"": 129, ""misc."": 3}",50,old age,"[""Satrapy""]","{""poor"": 0.5413, ""middle"": 0.3476, ""wealthy"": 0.0337, ""aristocrat"": 0.0774}",4,"[[""books"", ""cloth"", ""fish"", ""horses"", ""timber""]]","[[""jewelry"", ""magic items"", ""silk"", ""spices""]]",Ruler BAL-691,small militia,None,"Common, Orc",Tyr,88949,460120908,276.52,55.8,66.4,8,0,synthetic generator v3,derived,0.66,16845656,1,31.2,34.18186,-10.62065
Amn Settlement 0038,Amn,Athkatla,4101,14628538,115289,"{""humans"": 3379, ""elves"": 142, ""dwarves"": 156, ""halflings"": 369, ""half-orcs"": 53, ""misc."": 2}",115,arcane mishap,"[""Democracy""]","{""poor"": 0.5856, ""middle"": 0.2935, ""wealthy"": 0.0873, ""aristocrat"": 0.0336}",7,"[[""cloth"", ""gems"", ""weapons"", ""wine""]]","[[""coal"", ""jewelry"", ""ore"", ""parchment"", ""silk""]]",Ruler AMN-427,professional guard,arcanum,"Elvish, Halfling",Mystra,135123,611983508,29.21,73.1,82.9,6,0,synthetic generator v3,derived,0.68,17226812,-1,26.6,9.23192,-8.22901
Calimshan Settlement 0039,Calimshan,Memnon,1389,3288821,52832,"{""humans"": 1019, ""elves"": 99, ""dwarves"": 106, ""halflings"": 114, ""half-orcs"": 49, ""misc."": 2}",81,famine,"[""Dictatorship""]","{""poor"": 0.5516, ""middle"": 0.3901, ""wealthy"": 0.0533, ""aristocrat"": 0.005}",3,"[[""grain"", ""salt"", ""timber""]]","[[""ore""]]",Ruler CAL-336,mercenary heavy,local academy,Dwarvish,"Lathander, Torm, Tyr",104596,622107818,426.09,72.2,22.9,7,0,synthetic generator v3,derived,0.8,4334220,2,26.9,18.23943,-42.0894
Sembia Settlement 0040,Sembia,Selgaunt,9244,21273886,596667,"{""humans"": 6322, ""elves"": 993, ""dwarves"": 659, ""halflings"": 816, ""half-orcs"": 451, ""misc."": 3}",160,famine,"[""Monarchy""]","{""poor"": 0.6123, ""middle"": 0.2973, ""wealthy"": 0.0855, ""aristocrat"": 0.0049}",20,"[[""fish"", ""horses"", ""salt""]]","[[""coal"", ""glass"", ""magic items""]]",Ruler SEM-313,professional guard,arcanum,"Common, Dwarvish","Chauntea, Lathander",115850,569433233,432.06,53.6,44.1,10,0,synthetic generator v3,derived,0.82,17919292,0,51.0,46.14776,47.38135
Tethyr Settlement 0041,Tethyr,Darromar,9571,19190027,1244787,"{""humans"": 7273, ""elves"": 669, ""dwarves"": 489, ""halflings"": 891, ""half-orcs"": 246, ""misc."": 3}",91,monster attack,"[""Satrapy""]","{""poor"": 0.6297, ""middle"": 0.3131, ""wealthy"": 0.0526, ""aristocrat"": 0.0046}",12,"[[""cloth"", ""grain"", ""weapons""]]","[[""glass"", ""magic items"", ""mercenaries"", ""parchment"", ""silk""]]",Ruler TET-43,professional guard,None,"Common, Draconic","Mystra, Torm",94697,355319062,82.27,69.6,80.2,10,1,synthetic generator v3,derived,0.85,17829419,-2,45.5,13.40672,-39.11126
Waterdeep Settlement 0042,Waterdeep,Waterdeep,3359,22830880,317676,"{""humans"": 2447, ""elves"": 331, ""dwarves"": 254, ""halflings"": 137, ""half-orcs"": 187, ""misc."": 3}",82,famine,"[""Satrapy""]","{""poor"": 0.5424, ""middle"": 0.292, ""wealthy"": 0.0328, ""aristocrat"": 0.1328}",0,"[[""books"", ""fish"", ""gems"", ""salt""]]","[[""coal"", ""jewelry"", ""ore""]]",Ruler WAT-924,naval patrol,local academy,Dwarvish,"Mystra, Tempus, Tyr",111501,517924535,283.49,47.2,49.2,10,0,synthetic generator v3,derived,0.86,20955023,1,35.0,39.78464,-10.5886
Calimshan Settlement 0043,Calimshan,Memnon,12405,52065351,49235,"{""humans"": 9732, ""elves"": 1142, ""dwarves"": 909, ""halflings"": 404, ""half-orcs"": 215, ""misc."": 3}",179,disease,"[""Satrapy""]","{""poor"": 0.5263, ""middle"": 0.3777, ""wealthy"": 0.0318, ""aristocrat"": 0.0642}",0,"[[""books"", ""cloth"", ""gems"", ""horses"", ""wine""]]","[[""coal"", ""magic items"", ""parchment"", ""spices""]]",Ruler CAL-920,small militia,None,"Common, Dwarvish","Torm, Tyr",104596,622107818,413.76,75.5,26.2,5,0,synthetic generator v3,synthetic,0.41,50943077,1,17.5,13.91144,-62.73186
