settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,canon_status,source_confidence,hidden_economy,trade_balance,risk_index,geo_lat,geo_lon
Neverwinter Settlement 0011,Neverwinter,Neverwinter,2185,17628811,799598,"{'humans': 1906, 'elves': 189, 'dwarves': 112, 'halflings': 120, 'half-orcs': 29, 'misc.': 0}",94,old age,['Magocracy'],"{'poor': 0.5407, 'middle': 0.2025, 'wealthy': 0.0572, 'aristocrat': 0.1997}",7,"[['armor', 'gems', 'salt', 'timber']]",[['silk']],Ruler NEV-179,professional guard,guilds,"Draconic, Dwarvish, Orc","Tempus, Torm, Tyr",177268,765621383,201.32,49.2,59.5,7,4,synthetic generator v2,derived,0.75,17413782,3,33.7,28.4983,-26.73783
Waterdeep Settlement 0012,Waterdeep,Waterdeep,2974,8156630,113010,"{'humans': 2675, 'elves': 66, 'dwarves': 166, 'halflings': 255, 'half-orcs': 64, 'misc.': 0}",172,war,['Democracy'],"{'poor': 0.5772, 'middle': 0.3564, 'wealthy': 0.0381, 'aristocrat': 0.0284}",9,"[['cloth', 'fish', 'grain']]",[['glass']],Ruler WAT-472,mercenary heavy,None,"Draconic, Halfling","Lathander, Mystra, Tempus",236326,985356857,45.79,45.6,37.7,0,0,synthetic generator v2,derived,0.81,8973343,2,7.2,-31.48971,-70.31478
Amn Settlement 0013,Amn,Athkatla,722,3451794,235783,"{'humans': 576, 'elves': 28, 'dwarves': 40, 'halflings': 67, 'half-orcs': 37, 'misc.': 0}",113,crime,['Confederacy'],"{'poor': 0.4713, 'middle': 0.3584, 'wealthy': 0.0929, 'aristocrat': 0.0774}",5,[['grain']],"[['magic items', 'ore', 'spices']]",Ruler AMN-416,small militia,guilds,"Draconic, Orc","Chauntea, Selune, Tyr",169970,832884482,118.79,61.9,59.2,4,0,synthetic generator v2,derived,0.44,4275447,-2,18.0,-19.73346,90.96196
Waterdeep Settlement 0014,Waterdeep,Waterdeep,3749,17125611,988080,"{'humans': 3063, 'elves': 394, 'dwarves': 289, 'halflings': 151, 'half-orcs': 143, 'misc.': 0}",109,disease,['Theocracy'],"{'poor': 0.5523, 'middle': 0.3072, 'wealthy': 0.0568, 'aristocrat': 0.0837}",6,"[['fish', 'gems', 'grain', 'salt']]","[['jewelry', 'parchment']]",Ruler WAT-85,small militia,None,"Draconic, Elvish, Orc","Chauntea, Selune",236326,985356857,250.51,58.2,63.8,0,0,synthetic generator v2,derived,0.81,13466248,2,4.8,-12.14143,-46.51875
Amn Settlement 0015,Amn,Athkatla,1920,16716532,924702,"{'humans': 1253, 'elves': 45, 'dwarves': 153, 'halflings': 49, 'half-orcs': 32, 'misc.': 388}",111,old age,['Theocracy'],"{'poor': 0.4952, 'middle': 0.2547, 'wealthy': 0.0259, 'aristocrat': 0.2242}",4,"[['armor', 'books', 'cloth', 'timber', 'weapons']]","[['jewelry', 'silk']]",Ruler AMN-592,professional guard,local academy,"Draconic, Elvish, Halfling","Mystra, Tempus",169970,832884482,366.9,67.2,87.0,7,1,synthetic generator v2,synthetic,0.83,17932938,3,28.6,-35.64032,-8.5341
Waterdeep Settlement 0016,Waterdeep,Waterdeep,1686,13072975,646748,"{'humans': 1212, 'elves': 104, 'dwarves': 99, 'halflings': 61, 'half-orcs': 74, 'misc.': 136}",109,famine,['Magocracy'],"{'poor': 0.478, 'middle': 0.2918, 'wealthy': 0.0424, 'aristocrat': 0.1877}",20,[['books']],"[['magic items', 'parchment']]",Ruler WAT-786,small militia,None,"Dwarvish, Elvish, Halfling","Mystra, Tempus, Tyr",236326,985356857,538.42,56.7,43.6,8,0,synthetic generator v2,derived,0.43,10682031,-1,44.0,51.36833,-21.29751
Sembia Settlement 0017,Sembia,Selgaunt,470,2910174,89393,"{'humans': 326, 'elves': 32, 'dwarves': 22, 'halflings': 10, 'half-orcs': 10, 'misc.': 70}",111,arcane mishap,['Dictatorship'],"{'poor': 0.4834, 'middle': 0.3104, 'wealthy': 0.0776, 'aristocrat': 0.1286}",19,"[['fish', 'gems', 'wine']]","[['coal', 'jewelry', 'mercenaries', 'silk']]",Ruler SEM-421,naval patrol,None,Dwarvish,"Chauntea, Lathander",158418,730633739,446.39,48.4,39.5,8,0,synthetic generator v2,derived,0.54,3991584,-1,43.2,59.9266,54.54953
Neverwinter Settlement 0018,Neverwinter,Neverwinter,8822,37471811,1846085,"{'humans': 6003, 'elves': 309, 'dwarves': 758, 'halflings': 572, 'half-orcs': 497, 'misc.': 683}",106,war,['Merchant Council'],"{'poor': 0.4831, 'middle': 0.3838, 'wealthy': 0.0675, 'aristocrat': 0.0657}",8,"[['books', 'cloth', 'gems', 'grain', 'weapons']]","[['coal', 'jewelry', 'parchment', 'silk', 'spices']]",Ruler NEV-728,naval patrol,None,"Dwarvish, Halfling, Orc","Lathander, Mystra, Torm",177268,765621383,206.9,48.7,48.5,7,0,synthetic generator v2,derived,0.54,37226737,0,30.9,18.4584,68.32809
Baldurs Gate Settlement 0019,Baldurs Gate,Baldur's Gate,685,2664716,186362,"{'humans': 483, 'elves': 30, 'dwarves': 33, 'halflings': 40, 'half-orcs': 36, 'misc.': 63}",146,war,['Dictatorship'],"{'poor': 0.6456, 'middle': 0.2117, 'wealthy': 0.0794, 'aristocrat': 0.0632}",0,"[['armor', 'fish', 'gems']]",[['ore']],Ruler BAL-639,small militia,guilds,"Common, Draconic, Elvish","Chauntea, Mystra, Tempus",241116,953675704,543.94,61.6,62.7,1,0,synthetic generator v2,derived,0.73,2989768,2,3.5,-19.89717,-17.35662
Neverwinter Settlement 0020,Neverwinter,Neverwinter,964,3533870,4592,"{'humans': 666, 'elves': 89, 'dwarves': 90, 'halflings': 45, 'half-orcs': 39, 'misc.': 35}",81,famine,['Confederacy'],"{'poor': 0.5297, 'middle': 0.356, 'wealthy': 0.064, 'aristocrat': 0.0504}",12,"[['books', 'cloth', 'fish', 'gems', 'wine']]","[['jewelry', 'magic items', 'mercenaries', 'spices']]",Ruler NEV-294,professional guard,None,"Dwarvish, Elvish, Orc","Chauntea, Tempus",177268,765621383,320.02,49.4,43.6,10,0,synthetic generator v2,synthetic,0.89,3676534,1,44.6,17.63591,-0.60076
Tethyr Settlement 0021,Tethyr,Darromar,1910,16490246,931693,"{'humans': 1410, 'elves': 107, 'dwarves': 73, 'halflings': 60, 'half-orcs': 80, 'misc.': 180}",114,arcane mishap,['Satrapy'],"{'poor': 0.4822, 'middle': 0.2728, 'wealthy': 0.0236, 'aristocrat': 0.2213}",0,"[['books', 'wine']]","[['jewelry', 'mercenaries']]",Ruler TET-819,naval patrol,arcanum,Halfling,"Lathander, Tempus, Tyr",193641,937694481,59.3,62.6,69.5,0,0,synthetic generator v2,derived,0.9,12481213,0,0.0,-18.50869,-38.81863
Neverwinter Settlement 0022,Neverwinter,Neverwinter,441,826056,16182,"{'humans': 367, 'elves': 10, 'dwarves': 43, 'halflings': 35, 'half-orcs': 21, 'misc.': 0}",130,disease,['Democracy'],"{'poor': 0.6204, 'middle': 0.3477, 'wealthy': 0.0271, 'aristocrat': 0.0048}",10,"[['fish', 'salt', 'weapons', 'wine']]",[['silk']],Ruler NEV-247,small militia,None,"Draconic, Elvish, Halfling","Chauntea, Torm, Tyr",177268,765621383,164.0,45.3,58.7,5,0,synthetic generator v2,synthetic,0.82,807027,3,25.5,-13.52357,-94.01128
Baldurs Gate Settlement 0023,Baldurs Gate,Baldur's Gate,966,3406371,147071,"{'humans': 808, 'elves': 20, 'dwarves': 55, 'halflings': 62, 'half-orcs': 42, 'misc.': 0}",39,war,['Democracy'],"{'poor': 0.6805, 'middle': 0.228, 'wealthy': 0.0272, 'aristocrat': 0.0644}",15,"[['fish', 'weapons', 'wine']]","[['jewelry', 'magic items', 'ore', 'parchment']]",Ruler BAL-445,professional guard,guilds,Dwarvish,"Chauntea, Mystra",241116,953675704,337.37,54.2,64.2,10,0,synthetic generator v2,derived,0.68,4583428,-1,47.0,-27.07707,-38.33926
Amn Settlement 0024,Amn,Athkatla,360,838384,11852,"{'humans': 254, 'elves': 18, 'dwarves': 32, 'halflings': 27, 'half-orcs': 11, 'misc.': 18}",42,monster attack,['Confederacy'],"{'poor': 0.6066, 'middle': 0.3109, 'wealthy': 0.073, 'aristocrat': 0.0095}",0,"[['armor', 'fish']]","[['glass', 'jewelry', 'mercenaries', 'ore']]",Ruler AMN-373,mercenary heavy,guilds,"Common, Elvish",Chauntea,169970,832884482,398.09,60.7,81.1,1,0,synthetic generator v2,synthetic,0.62,962737,-2,3.5,-16.61428,-96.44976
Amn Settlement 0025,Amn,Athkatla,730,1627396,115202,"{'humans': 530, 'elves': 66, 'dwarves': 63, 'halflings': 66, 'half-orcs': 33, 'misc.': 0}",152,crime,['Monarchy'],"{'poor': 0.5934, 'middle': 0.3253, 'wealthy': 0.0769, 'aristocrat': 0.0044}",0,[['timber']],"[['glass', 'magic items']]",Ruler AMN-525,naval patrol,None,"Common, Dwarvish, Elvish",Torm,169970,832884482,246.31,71.9,74.9,5,0,synthetic generator v2,derived,0.66,1650020,-1,17.5,44.13025,-31.05129
Sembia Settlement 0026,Sembia,Selgaunt,1334,3083211,27651,"{'humans': 948, 'elves': 76, 'dwarves': 61, 'halflings': 109, 'half-orcs': 45, 'misc.': 95}",171,war,['Confederacy'],"{'poor': 0.5839, 'middle': 0.3248, 'wealthy': 0.0868, 'aristocrat': 0.0044}",0,"[['armor', 'grain', 'weapons', 'wine']]",[['magic items']],Ruler SEM-928,small militia,local academy,Common,Lathander,158418,730633739,135.61,50.0,56.6,4,0,synthetic generator v2,derived,0.78,4183320,3,14.0,55.196,-103.54479
Amn Settlement 0027,Amn,Athkatla,788,3044802,59564,"{'humans': 598, 'elves': 21, 'dwarves': 38, 'halflings': 73, 'half-orcs': 21, 'misc.': 37}",39,old age,['Magocracy'],"{'poor': 0.573, 'middle': 0.3324, 'wealthy': 0.0268, 'aristocrat': 0.0679}",8,"[['fish', 'grain']]","[['glass', 'jewelry', 'parchment', 'spices']]",Ruler AMN-937,naval patrol,local academy,Halfling,"Mystra, Selune, Tyr",169970,832884482,44.73,64.6,92.5,9,0,synthetic generator v2,synthetic,0.45,3722478,-2,37.9,19.27287,9.11369
Baldurs Gate Settlement 0028,Baldurs Gate,Baldur's Gate,4304,24611130,926023,"{'humans': 2800, 'elves': 397, 'dwarves': 339, 'halflings': 417, 'half-orcs': 54, 'misc.': 297}",118,monster attack,['Confederacy'],"{'poor': 0.5341, 'middle': 0.2952, 'wealthy': 0.0481, 'aristocrat': 0.1226}",1,"[['books', 'cloth', 'grain', 'salt', 'wine']]","[['coal', 'magic items', 'parchment', 'silk', 'spices']]",Ruler BAL-561,professional guard,arcanum,Halfling,Chauntea,241116,953675704,363.41,56.1,42.2,1,0,synthetic generator v2,derived,0.86,24471582,0,4.3,-13.76575,-52.95134
Amn Settlement 0029,Amn,Athkatla,10062,39692315,721169,"{'humans': 7928, 'elves': 736, 'dwarves': 915, 'halflings': 618, 'half-orcs': 267, 'misc.': 0}",72,old age,['Magocracy'],"{'poor': 0.6374, 'middle': 0.2396, 'wealthy': 0.053, 'aristocrat': 0.0699}",12,"[['books', 'fish', 'wine']]","[['glass', 'mercenaries', 'spices']]",Ruler AMN-103,mercenary heavy,arcanum,"Dwarvish, Elvish",Selune,169970,832884482,197.24,65.5,74.0,6,0,synthetic generator v2,derived,0.92,50421295,0,30.6,15.80253,-74.59367
Baldurs Gate Settlement 0030,Baldurs Gate,Baldur's Gate,2402,14269131,580488,"{'humans': 1931, 'elves': 287, 'dwarves': 226, 'halflings': 126, 'half-orcs': 48, 'misc.': 0}",177,monster attack,['Theocracy'],"{'poor': 0.5672, 'middle': 0.2685, 'wealthy': 0.0276, 'aristocrat': 0.1367}",4,[['timber']],"[['jewelry', 'magic items', 'parchment', 'spices']]",Ruler BAL-279,mercenary heavy,guilds,"Dwarvish, Orc","Mystra, Torm",241116,953675704,438.51,53.5,52.7,3,0,synthetic generator v2,derived,0.41,17687043,-3,13.7,18.55238,52.78505
Sembia Settlement 0031,Sembia,Selgaunt,431,1071456,55908,"{'humans': 323, 'elves': 13, 'dwarves': 15, 'halflings': 30, 'half-orcs': 17, 'misc.': 33}",102,old age,['Merchant Council'],"{'poor': 0.5314, 'middle': 0.3877, 'wealthy': 0.0713, 'aristocrat': 0.0096}",0,"[['horses', 'timber']]","[['glass', 'jewelry', 'silk', 'spices']]",Ruler SEM-118,naval patrol,None,"Draconic, Orc","Lathander, Selune, Tyr",158418,730633739,125.51,54.1,48.2,9,0,synthetic generator v2,derived,0.94,858712,-2,31.5,38.8523,-35.68413
Cormyr Settlement 0032,Cormyr,Suzail,1013,6055942,28949,"{'humans': 771, 'elves': 39, 'dwarves': 49, 'halflings': 68, 'half-orcs': 26, 'misc.': 60}",150,war,['Monarchy'],"{'poor': 0.5719, 'middle': 0.2293, 'wealthy': 0.0691, 'aristocrat': 0.1297}",8,"[['books', 'salt', 'timber', 'weapons', 'wine']]","[['glass', 'parchment']]",Ruler COR-105,naval patrol,arcanum,"Draconic, Halfling, Orc",Tempus,142577,750902532,533.16,66.1,68.7,3,0,synthetic generator v2,derived,0.62,6053730,3,16.9,-15.43753,-75.78239
Calimshan Settlement 0033,Calimshan,Memnon,2013,8343911,182424,"{'humans': 1522, 'elves': 229, 'dwarves': 117, 'halflings': 146, 'half-orcs': 92, 'misc.': 0}",82,old age,['Patriarchy'],"{'poor': 0.6334, 'middle': 0.2223, 'wealthy': 0.0718, 'aristocrat': 0.0724}",1,"[['books', 'cloth', 'gems', 'grain', 'timber']]","[['jewelry', 'mercenaries', 'ore', 'parchment', 'spices']]",Ruler CAL-826,naval patrol,guilds,"Common, Dwarvish, Orc","Mystra, Tempus, Torm",175132,771448209,401.81,75.3,21.0,6,0,synthetic generator v2,derived,0.4,7569426,0,21.8,-36.47956,36.44542
Waterdeep Settlement 0034,Waterdeep,Waterdeep,785,2124869,127904,"{'humans': 679, 'elves': 33, 'dwarves': 65, 'halflings': 43, 'half-orcs': 17, 'misc.': 0}",86,monster attack,['Dictatorship'],"{'poor': 0.5225, 'middle': 0.389, 'wealthy': 0.0724, 'aristocrat': 0.0161}",8,"[['armor', 'fish', 'weapons']]","[['coal', 'mercenaries']]",Ruler WAT-81,naval patrol,guilds,Halfling,"Lathander, Mystra, Selune",236326,985356857,37.53,45.2,59.0,4,0,synthetic generator v2,synthetic,0.66,1811721,1,20.4,15.51486,59.65112
Sembia Settlement 0035,Sembia,Selgaunt,885,5655327,525939,"{'humans': 584, 'elves': 85, 'dwarves': 36, 'halflings': 25, 'half-orcs': 42, 'misc.': 113}",63,arcane mishap,['Satrapy'],"{'poor': 0.5899, 'middle': 0.2307, 'wealthy': 0.0256, 'aristocrat': 0.1538}",0,"[['cloth', 'fish', 'gems', 'grain']]","[['coal', 'magic items', 'parchment', 'silk']]",Ruler SEM-332,professional guard,arcanum,"Draconic, Dwarvish, Halfling","Lathander, Tempus, Tyr",158418,730633739,14.13,50.2,54.8,5,0,synthetic generator v2,derived,0.44,6651924,0,17.5,1.02163,111.65291
Cormyr Settlement 0036,Cormyr,Suzail,1084,2622236,35724,"{'humans': 937, 'elves': 36, 'dwarves': 41, 'halflings': 59, 'half-orcs': 52, 'misc.': 0}",111,famine,['Satrapy'],"{'poor': 0.5331, 'middle': 0.3786, 'wealthy': 0.0833, 'aristocrat': 0.005}",20,"[['gems', 'grain', 'salt', 'timber', 'weapons']]",[['ore']],Ruler COR-38,professional guard,arcanum,"Dwarvish, Halfling","Chauntea, Lathander, Tempus",142577,750902532,238.88,59.0,47.5,10,0,synthetic generator v2,synthetic,0.86,3342083,4,51.0,-8.77939,-97.93066
Calimshan Settlement 0037,Calimshan,Memnon,414,915530,38370,"{'humans': 342, 'elves': 42, 'dwarves': 20, 'halflings': 31, 'half-orcs': 17, 'misc.': 0}",41,crime,['Magocracy'],"{'poor': 0.6724, 'middle': 0.2733, 'wealthy': 0.0363, 'aristocrat': 0.018}",0,"[['armor', 'books', 'fish', 'horses', 'weapons']]",[['magic items']],Ruler CAL-233,mercenary heavy,None,Draconic,Tyr,175132,771448209,140.35,72.0,29.8,2,0,synthetic generator v2,synthetic,0.48,704109,4,7.0,3.43054,94.47214
Calimshan Settlement 0038,Calimshan,Memnon,1023,6505959,140473,"{'humans': 673, 'elves': 103, 'dwarves': 55, 'halflings': 87, 'half-orcs': 59, 'misc.': 46}",47,crime,['Magocracy'],"{'poor': 0.5608, 'middle': 0.2259, 'wealthy': 0.0722, 'aristocrat': 0.141}",0,"[['fish', 'salt']]","[['coal', 'magic items', 'ore', 'silk']]",Ruler CAL-882,naval patrol,None,"Draconic, Halfling, Orc","Selune, Tempus, Torm",175132,771448209,423.33,71.8,14.7,3,0,synthetic generator v2,synthetic,0.74,5947267,-2,10.5,-2.44738,66.08349
Waterdeep Settlement 0039,Waterdeep,Waterdeep,1322,3303545,14779,"{'humans': 989, 'elves': 154, 'dwarves': 53, 'halflings': 106, 'half-orcs': 16, 'misc.': 4}",60,disease,['Monarchy'],"{'poor': 0.5397, 'middle': 0.3568, 'wealthy': 0.0985, 'aristocrat': 0.005}",9,[['weapons']],"[['glass', 'jewelry', 'magic items', 'parchment']]",Ruler WAT-224,professional guard,arcanum,Orc,"Tempus, Tyr",236326,985356857,436.77,56.5,56.3,5,0,synthetic generator v2,synthetic,0.75,3161128,-3,24.7,-12.16889,-50.46019
Neverwinter Settlement 0040,Neverwinter,Neverwinter,243,1754608,120868,"{'humans': 164, 'elves': 26, 'dwarves': 19, 'halflings': 15, 'half-orcs': 12, 'misc.': 7}",83,disease,['Dictatorship'],"{'poor': 0.5601, 'middle': 0.2041, 'wealthy': 0.0645, 'aristocrat': 0.1713}",0,"[['books', 'cloth', 'horses']]",[['glass']],Ruler NEV-562,mercenary heavy,None,"Draconic, Dwarvish, Orc","Tempus, Torm",177268,765621383,219.58,44.1,59.8,8,0,synthetic generator v2,derived,0.79,1572503,2,28.0,-4.88514,125.76118
Tethyr Settlement 0041,Tethyr,Darromar,1257,3798767,208639,"{'humans': 1123, 'elves': 26, 'dwarves': 113, 'halflings': 113, 'half-orcs': 35, 'misc.': 0}",126,old age,['Patriarchy'],"{'poor': 0.5859, 'middle': 0.2983, 'wealthy': 0.0877, 'aristocrat': 0.0281}",17,[['wine']],"[['glass', 'silk', 'spices']]",Ruler TET-306,naval patrol,arcanum,Halfling,Selune,193641,937694481,468.92,70.6,60.9,6,0,synthetic generator v2,derived,0.51,3282977,-2,34.6,44.938,-67.04345
Tethyr Settlement 0042,Tethyr,Darromar,122,237683,8910,"{'humans': 99, 'elves': 5, 'dwarves': 5, 'halflings': 3, 'half-orcs': 5, 'misc.': 5}",96,war,['Patriarchy'],"{'poor': 0.6402, 'middle': 0.3079, 'wealthy': 0.0472, 'aristocrat': 0.0046}",18,[['salt']],"[['glass', 'jewelry', 'magic items']]",Ruler TET-327,small militia,None,Common,Lathander,193641,937694481,75.39,66.2,79.0,8,0,synthetic generator v2,derived,0.76,204170,-2,42.4,-2.05266,-19.70385
Calimshan Settlement 0043,Calimshan,Memnon,607,6678642,170173,"{'humans': 522, 'elves': 42, 'dwarves': 41, 'halflings': 33, 'half-orcs': 25, 'misc.': 0}",130,disease,['Satrapy'],"{'poor': 0.4616, 'middle': 0.2119, 'wealthy': 0.0286, 'aristocrat': 0.2979}",20,"[['books', 'timber']]","[['coal', 'mercenaries']]",Ruler CAL-117,naval patrol,arcanum,"Draconic, Halfling",Mystra,175132,771448209,96.76,74.9,47.8,8,0,synthetic generator v2,synthetic,0.47,5155148,0,44.0,-35.10054,60.16317
Amn Settlement 0044,Amn,Athkatla,2231,9237996,76098,"{'humans': 1521, 'elves': 140, 'dwarves': 72, 'halflings': 217, 'half-orcs': 30, 'misc.': 251}",112,monster attack,['Patriarchy'],"{'poor': 0.5102, 'middle': 0.3382, 'wealthy': 0.0927, 'aristocrat': 0.0589}",2,"[['salt', 'timber']]","[['coal', 'ore']]",Ruler AMN-795,mercenary heavy,local academy,"Draconic, Dwarvish, Orc","Chauntea, Lathander",169970,832884482,279.19,63.2,85.4,5,0,synthetic generator v2,synthetic,0.7,12181932,0,19.1,26.98548,-66.91589
Neverwinter Settlement 0045,Neverwinter,Neverwinter,298,678877,48960,"{'humans': 224, 'elves': 23, 'dwarves': 12, 'halflings': 18, 'half-orcs': 6, 'misc.': 15}",51,famine,['Satrapy'],"{'poor': 0.5747, 'middle': 0.3435, 'wealthy': 0.0772, 'aristocrat': 0.0046}",17,[['fish']],[['glass']],Ruler NEV-847,professional guard,local academy,"Common, Dwarvish","Chauntea, Mystra, Tempus",177268,765621383,351.45,50.9,60.9,9,0,synthetic generator v2,derived,0.77,762411,0,45.1,11.66821,96.58359
Baldurs Gate Settlement 0046,Baldurs Gate,Baldur's Gate,789,4096730,35205,"{'humans': 683, 'elves': 73, 'dwarves': 52, 'halflings': 35, 'half-orcs': 12, 'misc.': 0}",146,monster attack,['Democracy'],"{'poor': 0.5411, 'middle': 0.2866, 'wealthy': 0.0715, 'aristocrat': 0.1007}",11,"[['books', 'horses']]",[['parchment']],Ruler BAL-959,small militia,guilds,"Common, Draconic, Dwarvish",Chauntea,241116,953675704,211.55,60.5,33.6,1,0,synthetic generator v2,synthetic,0.74,3669833,1,12.3,3.83418,80.0434
